rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Maria Dollinger,GER,2.16.8,,1,Magdeburg,Aug 2
2,Stanislawa Walasiewicz,POL,2.18.3,,1,Cleveland,May 23
3,Karoline Radke,GER,2.18.8,,2,Magdeburg,Aug 2
4,Gladys Lunn,GBR,2.18.9,,1,Hannover,Aug 23
5,Ruth Christmas,GBR,2.22.5,,3,Hannover,Aug 23
6,Lilian Styles,GBR,2.24.4,*,1,Brighton,Aug 29
7,Ida Jones,GBR,2.24.6,*e,2,Leamington,Aug 3
8,Constance Johnson-Jauweicz,GBR,2.24.8,*,1hcp,Largs,Jul 20
9,Maria Makarova,URS,2.25.0,,1,Leningrad,Aug 20
10,Anfisa Spiridonova,URS,2.25.3,,1,Moscow,Jul 16
11,Leandrina Bulzacchi,ITA,2.25.8,,1,Krolewska Huta,Aug 9
12,Ruth Wunderling,GER,2.25.9,,4,Hannover,Aug 23
13,Ella Bonacker,GER,2.26.2,,1,Gdansk,Jul 05
14,Valentina Kashuba,URS,2.26.7,,3,Moscow,Jul 16
15,Liselotte Kimmel,GER,2.27.0,,1,Magdeburg,Sep 20
16,Lotte Görlich,GER,2.27.2,,1,Breslau,Jul 12
17,Elsbeth Klinder,GER,2.27.6,,4,Magdeburg,Aug 02
18,Ilse Rümmele,GER,2.27.8,,2,Berlin,Jul 12
19,Marie Kabonova,TCH,2.28.2,,1,Prague,Jul 05
20,Gertruda Kilos,POL,2.28.8,,1,Ratibor,Jun 21
21,Anneliese Müller,GER,2.29.6,,4,Berlin,Jul 12
22,Anna Aleksandrova,URS,2.30.0,,1,Kharkov,Jul 11
22,Henny Selle,GER,2.30.0,,3h2,Magdeburg,Aug 01
24,Vera Bannister,GBR,2.30.2,*,1,Brighton,Jun 6
24,Julia Van der Velde,BEL,2.30.2,,1,Schaerbeek,Aug 2
