rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Tonka Petrova,BUL,1.56.2,,1,Paris,Jul 06
2,Nikolina Shtereva,BUL,1.56.29,,1,Turin,Aug 04
3,Olga Vakhrusheva,URS,1.57.1,,1,Sochi,Jun 09
4,Yekaterina Poryvkina,URS,1.57.2,,1,Moscow,Jul 23
5,Rafira Fita-Lovin,ROU,1.57.4,,1,Bucharest,Jun 17
6,Nadezhda Mushta,URS,1.57.5,,2,Moscow,Jul 23
7,Christina Wartenberg,GDR,1.57.6,,1,Potsdam,Jul 29
8,Maricica Puica,ROU,1.57.8,,2,Bucharest,Jun 17
8,Olga Mineyeva,URS,1.57.8,,3,Moscow,Jul 23
10,Anita Weiss,GDR,1.57.92,,3,Turin,Aug 04
11,Ileana Silai,ROU,1.58.00,,1,Helsinki,Jun 08
11,Jolanda Januchta,POL,1.58.00,,2,Warsaw,Jul 29
13,Svetlana Styrkina,URS,1.58.0,,2,Kaunas,Aug 12
14,Nina Ruschayeva,URS,1.58.1,,4,Moscow,Jul 23
15,Maria Yenkina,URS,1.58.4,,1,Podolsk,Aug 04
16,Nina Kovylina,URS,1.58.5,,6,Moscow,Jul 23
17,Raisa Belousova,URS,1.58.8,,3,Podolsk,Aug 04
17,Hildegard Ullrich,GDR,1.58.8,,2,Karl-Marx-Stadt,Aug 11
19,Vesela Yazinska,URS,1.58.9,,2,Paris,Jul 06
20,Olga Dvirna,URS,1.59.0,,4,Podolsk,Aug 04
21,Christina Boxer,GBR,1.59.05,,6,Torino,Aug 04
22,Lyudmila Veselkova,URS,1.59.2,,5,Kaunas,Aug 12
23,Aleksandra Bukharova,URS,1.59.3,,4r1,Sochi,Jun 09
24,Christine Wildschek,AUT,1.59.4,,2,Bystrica,Jun 24
24,Valentina Gerasimova,URS,1.59.4,,3s2,Moscow,Jul 22
26,Margit Klinger,FRG,1.59.48,,1,Düsseldorf,Aug 30
