rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Tatyana Andrianova,RUS,1.56.23,,1,Tula,Jul 31
2,Kelly Holmes,GBR,1.56.38,,1,Athens,Aug 23
3,Hasna Benhassi,MAR,1.56.43,,2,Athens,Aug 23
3,Jolanda Ceplak,SLO,1.56.43,,3,Athens,Aug 23
5,Maria Lurdes Mutola,MOZ,1.56.51,,4,Athens,Aug 23
6,Natalya Khrushchelyova,RUS,1.56.59,,2,Tula,Jul 31
7,Jearl Miles-Clark,USA,1.57.27,,6,Athens,Aug 23
8,Natalya Lavshuk,RUS,1.57.45,,3,Tula,Jul 31
9,Svetlana Cherkasova,RUS,1.57.50,,4,Tula,Jul 31
10,Olga Kotlyarova,RUS,1.57.96,,2r3,Kazan,Jul 09
11,Oksana Zbrozhek,RUS,1.58.06,,5,Tula,Jul 31
12,Olga Raspopova,RUS,1.58.28,,2s2,Tula,Jul 30
13,Nicole Teter,USA,1.58.52,,2,Heusden,Jul 31
14,Mayte Martínez,ESP,1.58.58,,1,Rieti,Sep 05
15,Natalya Tsyganova,RUS,1.58.72,,7,Tula,Jul 31
16,Amina Aït Hammou,MAR,1.58.92,,5,Zürich,Aug 06
17,Agnes Samaria,NAM,1.59.16,,4,Rieti,Sep 05
18,Zulia Calatayud,CUB,1.59.21,,4s1,Athens,Aug 21
19,Diane Cummins,CAN,1.59.22,,7,Zürich,Aug 06
20,Hazel Clark,USA,1.59.32,,3,Eugene,Jun 19
21,Laetitia Valdonado,FRA,1.59.35,,1,Heusden,Jul 31
22,Elena Buhaianu-Iagar,ROU,1.59.43,,1,Bucuresti,Jun 13
23,Maria Cioncan,ROU,1.59.44,,2s3,Athens,Aug 21
24,Elisabeth Grousselle,FRA,1.59.46,,1,Saint-Maur,Jul 21
25,Marian Burnett,GUY,1.59.47,,2,Palo Alto,May 31
