rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Ana Fidelia Quirot,CUB,1.54.82,,1,Köln,Aug 24
2,Maria Lurdes Mutola,MOZ,1.55.29,,2,Köln,Aug 24
3,Yelena Afanasyeva,RUS,1.56.61,,3,Zürich,Aug 13
4,Jearl Miles-Clark,USA,1.56.78,,3,Brussels,Aug 22
5,Kelly Holmes,GBR,1.57.14,,1,Stockholm,Jul 07
6,Lang Yinlai,CHN,1.57.62,,1,Shanghai,Oct 22
7,Chen Xuehui,CHN,1.57.82,,2,Shanghai,Oct 22
8,Letitia Vriesde,SUR,1.57.86,,4,Monaco,Aug 26
9,Lin Nuo,CHN,1.58.16,,3,Shanghai,Oct 22
10,Linda Kisabaka,GER,1.58.38,,3,Gomel,May 05
11,Joetta Clark,USA,1.58.48,,5,Monaco,Aug 16
12,Ludmila Formanova,CZE,1.58.54,,4,Köln,Aug 24
13,Liu Jing,CHN,1.58.55,,1h3,Shanghai,Oct 21
14,Liu Haiyan,CHN,1.58.57,,3h1,Shanghai,Oct 21
15,Wang Qingfen,CHN,1.58.69,,3h3,Shanghai,Oct 21
16,Lyubov Tsyoma,RUS,1.58.82,,1,Tula,Jul 08
17,Svetlana Masterkova,RUS,1.58.89,,3,Rome,Jun 05
18,Lyubov Gurina,RUS,1.58.90,,2,Tula,Jul 08
19,Carla Sacramento,POR,1.58.94,,7,Zürich,Aug 13
20,Zhang Jian,CHN,1.58.98,,4,Shanghai,Oct 22
21,Liu Qifang,CHN,1.59.01,,4h3,Shanghai,Oct 21
22,Irina Biryukova,RUS,1.59.16,,4,Rome,Jun 05
23,Luciana Mendes,BRA,1.59.18,,3,Nice,Jul 16
24,Qu Yunxia,CHN,1.59.25,,5h3,Shanghai,Oct 21
25,Olga Nelyubova,RUS,1.59.29,,3,Tula,Jul 08
