rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Tyson Gay,USA,19.62,,1,"Indianapolis, IN",Jun 24
2,Walter Dix,USA,19.69,,1,"Gainesville, FL",May 26
3,Usain Bolt,JAM,19.75,,1,"Kingston (NS), JAM",Jun 24
4,Wallace Spearmon,USA,19.82,,1,New York,Jun 02
5,Jaysuma Saidy Ndure,NOR,19.89,,1,Stuttgart,Sep 23
6,Xavier Carter,USA,19.92,,1,Zürich,Sep 07
7,LaShawn Merritt,USA,19.98,,2,"Carson, CA",May 20
8,Asafa Powell,JAM,20.00,,1,Shanghai,Sep 28
9,Marvin Anderson,JAM,20.06,,2sf2,Osaka,Aug 29
9,Rodney Martin,USA,20.06,,4,Osaka,Aug 30
11,Anastásios Goúsis,GRE,20.11,,1h4,Osaka,Aug 28
12,Christopher Williams,JAM,20.17,,3,New York,Jun 02
12,Jordan Vaden,USA,20.17,,1,San Salvador,Jul 15
14,Shingo Suetsugu,JPN,20.20,,1,Osaka,Jun 30
14,Churandy Martina,AHO,20.20,,4sf1,Osaka,Aug 29
16,Shawn Crawford,USA,20.21,,3,"Carson, CA",May 20
17,Brendan Christian,ANT,20.23,,3h4,Osaka,Aug 28
18,Brian Dzingai,ZIM,20.28,,2qf1,Osaka,Aug 28
19,Clement Campbell,JAM,20.29,,3,"Kingston (NS), JAM",Jun 24
20,Paul Hession,IRL,20.30,,1,Dublin,Jul 21
20,Johan Wissman,SWE,20.30,,4,Stuttgart,Sep 23
22,Michel Herrera,CUB,20.31,,1,Caracas,May 11
22,Bryan Barnett,CAN,20.31,,1h3,Osaka,Aug 28
22,Marcin Jedrusinski,POL,20.31,,4h4,Osaka,Aug 28
25,Morne Nagel,RSA,20.32,A,1r1,Pretoria,Mar 10
25,Reggie Witherspoon,USA,20.32,,1h1,"Lincoln, NE",May 12
25,Dwight Thomas,JAM,20.32,,1r1,Bydgoszcz,Jun 10
25,Joshua J. Johnson,USA,20.32,,1,Stockholm,Aug 07
