rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Harry Evans,USA,21.2,,1,Urbana,May 27
1,Charles Paddock,USA,21.2,*str,1,West Orange,Sep 06
3,Jackson Scholz,USA,21.4,,1,Dublin,Aug 13
3,Hubert Houben,GER,21.4,,1hp,Augsburg,Sep 21
5,Louis Clarke,USA,21.5,estr,2s1,Cambridge/MA,Jun 14
5,Loren Murchison,USA,21.5,e,2,Berlin,Aug 6
7,Eric Wilson,USA,21.6,str,1,Iowa City,May 31
7,Howard Kinsman,RSA,21.6,*,1,London,Jun 21
7,Cyril Coaffee,CAN,21.6,,3hp,Toronto,Jun 7
7,Bayes Norton,USA,21.6,estr,2,Cambridge/MA,Jun 14
7,George Hill,USA,21.6,estr,3,Cambridge/MA,Jun 14
7,André Mourlon,FRA,21.6,,1,Colombes,Jun 22
13,Eric Liddell,GBR,21.7,*,1s1,London,Jun 20
13,Maurice Degrelle,FRA,21.7,e,2,Colombes,Jun 22
13,Edwin Carr,AUS,21.7,e,2,Dublin,Aug 13
13,Arthur Porritt,NZL,21.7,*,1,Oxford,Nov 21
17,Ian Campbell,USA,21.8,*str,1,Palo Alto,Mar 15
17,Francisco Arango,CUB,21.8,,1,La Habana,Apr 27
17,Heacock,USA,21.8,*str,1,West Point,May 03
17,Oliver MacDonald,USA,21.8,,1,Budapest,Jul 23
17,Per-Oscar Andersen,NOR,21.8,,1,Stockholm,Sep 23
17,André Cerbonney,FRA,21.8,,h,Colombes,Sep 28
23,Victor Leschinsky,USA,21.9,str,1,Ann Arbor,May 31
23,Frederick Lovejoy,USA,21.9,,1,New York,Jun 07
23,Harold Abrahams,GBR,21.9,e,3s1,Colombes,Jul 09
23,Ferenc Gerö,HUN,21.9,,1,Frankfurt/M,Jul 20
23,Laurie Cohen,CAN,21.9,*,1,Winnipeg,Jul 26
