rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Tatyana Kotova,RUS,7.12,,1,Novosibirsk,Aug 30
2,Lyudmila Kolchanova,RUS,7.11,,1,Tula,Jul 15
3,Oksana Udmurtova,RUS,7.02,,1,Doha,May 12
4,Bronwyn Thompson,AUS,6.97,,1,Melbourne,Mar 24
4,Tatyana Lebedeva,RUS,6.97,,2,Doha,May 12
6,Natalya Lebusova,RUS,6.93,,2,Tula,Jul 15
7,Kumiko Ikeda,JPN,6.86,,1,Osaka,May 06
8,Rose Richmond,USA,6.84,,-,Indianapolis,Jun 24
8,Maurren Higa Maggi,BRA,6.84,A,1,Bogotá,Jul 15
10,Akiba McKinney,USA,6.83,,1,"Walnut, CA",Apr 15
10,Hrysopiyí Devetzí,GRE,6.83,,1,Tríkala,Jun 10
12,Naide Gomes,POR,6.82,,2,Bad Langensalza,Jul 08
12,Elva Goulbourne,JAM,6.82,,1,Pátra,Jul 10
12,Viktoriya Rybalko,UKR,6.82,,-,Kyiv,Jul 21
15,Ksenija Balta,EST,6.80,,1,Tallinn,Aug 15
16,Yelena Ivanova,RUS,6.77,,3,Tula,Jul 15
17,Stilianí Pilátou,GRE,6.75,,1,Iráklio,May 14
17,Grace Upshaw,USA,6.75,,-,Zaragoza,Jun 03
17,Claudia Tonn,GER,6.75,,1u2,Ratingen,Jun 25
20,Viktoriya Molchanova,UKR,6.73,,2,Kyiv,Jul 21
21,Concepción Montaner,ESP,6.72,,1,Alfaz del Pi,Apr 16
21,Olga Kucherenko,RUS,6.72,,2,Sochi,May 26
23,Malgorzata Trybanska,POL,6.71,,3,Tallinn,Aug 15
24,Niurka Montalvo,ESP,6.70,,1,Castellón,Jun 24
24,Adina Anton,ROU,6.70,,1,Bucharest,Jul 25
