rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Galina Chistyakova,URS,7.35,,1,Bratislava,Jun 20
2,Heike Drechsler,GDR,7.30,,1,Split,Aug 28
3,Jackie Joyner-Kersee,USA,7.12,,2,Rieti,Sep 09
4,Larisa Berezhnaya,URS,7.10,,2,Sao Paulo,May 20
4,Inessa Kravets,URS,7.10,,1,Sao Paulo,May 20
6,Marieta Ilcu,ROU,7.06,,3,Bratislava,Jun 20
7,Helga Radtke,GDR,6.97,,1,Leipzig,May 16
7,Iolanda Chen,URS,6.97,,3,Sao Paulo,May 20
9,Shuzen Liu,CHN,6.92,,1,Beijing,Jun 24
10,Alla Nechiporets,URS,6.91,,1,Kishinyov,Aug 18
11,Anna Biryukova,URS,6.89,,1,Bryansk,Jun 19
12,Fiona May,GBR,6.88,,1,Bologna,Jul 18
13,Niurka Montalvo,CUB,6.87,,1,Habana,Mar 18
13,Yelena Pershina,URS,6.87,,1,Alma-Ata,May 05
15,Karen Kruger,RSA,6.85,A,1,Johannesburg,Mar 24
15,Ringa Ropo,FIN,6.85,,2,Lahti,Aug 09
17,Mirela Dulgheru,ROU,6.84,,1,Pitesti,May 26
17,Qiying Xiong,CHN,6.84,,2,Beijing,Jun 24
17,Yelena Semiraz,URS,6.84,,1,Ternopol,Jul 15
20,Vera Olenchenko,URS,6.83,,1,Sochi,May 27
21,Wang Wenhong,CHN,6.80,,1,Tianjin,Aug 05
21,Yelena Chicherova,URS,6.80,,H,Krasnodar,May 08
23,Jane Flemming,AUS,6.78,,1,Auckland,Feb 02
24,Sheila Echols,USA,6.77,,Q,Norwalk,Jun 15
25,Irina Mishailova,URS,6.75,,2,Sochi,May 27
25,Valeria Ionescu,ROU,6.75,,3,Helsinki,Jun 27
1,Yelena Khlopotnova,URS,7.06,i,1,Chelyabinsk,Feb 03
2,Iolanda Chen,URS,7.03,i,2,Chelyabinsk,Feb 03
