rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Ivet Lalova,BUL,10.77,,1,Plovdiv,Jun 19
2,Veronica Campbell,JAM,10.91,,1,Monaco,Sep 19
3,Yuliya Nesterenko,BLR,10.92,,1s1,Athens,Aug 21
4,Christine Arron,FRA,10.95,,1,Sotteville,Jul 16
5,Lauryn Williams,USA,10.96,,2,Athens,Aug 21
6,LaTasha Colander,USA,10.97,,1,Sacramento,Jul 10
7,Torri Edwards,USA,11.00,,1s,Sacramento,Jul 10
8,Sherone Simpson,JAM,11.01,,1,St George's,May 29
9,Marion Jones,USA,11.04,,1,"Kingston, JAM",May 07
9,Aleen Bailey,JAM,11.04,,1,Manchester (SC),Jul 23
9,Debbie Ferguson,BAH,11.04,,4s1,Athens,Aug 21
12,Inger Miller,USA,11.05,,1,Eugene,Jun 19
12,Gail Devers,USA,11.05,,2,Eugene,Jun 19
14,Chryste Gaines,USA,11.06,,3,Eugene,Jun 19
15,Merlene Ottey,SLO,11.09,,1,Naimette-Xhovémont,Aug 03
16,Yuliya Tabakova,RUS,11.10,,1h2,Tula,Jul 29
17,Muna Lee,USA,11.12,,2,Austin,Jun 11
17,Fana Ashby,TRI,11.12,,1h,Port-of-Spain,Jun 19
19,Ashley Owens,USA,11.13,,1,Grosseto,Jul 14
20,Kim Gevaert,BEL,11.14,,1,Milan,Jun 02
20,Marshevet Hooker,USA,11.14,,1h2,Austin,Jun 10
20,Natasha Mayers,VIN,11.14,,6,Eugene,Jun 19
20,Vida Anim,GHA,11.14,,1h7,Athens,Aug 20
24,Angela Williams,USA,11.15,,1,San Diego,Jun 19
25,Allyson Felix,USA,11.16,,1,Linz,Aug 02
