rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Parry O'Brien,USA,18.04,,1,Compton,Jun 5
2,Jiri Skobla,TCH,17.54,,1,Aue,Sep 22
3,Darrow Hooper,USA,17.17,,2,Lincoln,Jun 20
4,Roland Nilsson,SWE,17.00,,1,Philadelphia,Apr 25
5,Tom Jones,USA,16.95,,3,Lincoln,Jun 20
6,Otto Grigalka,URS,16.80,,1,Oslo,Oct 1
7,Bernard Mayer,USA,16.77,,2,Dayton,Jun 26
8,Howard Hertz,USA,16.69,,2,Los Angeles,May 15
9,Georgiy Fedorov,URS,16.46,,1,Budapest,Sep 23
10,Heino Lipp,URS,16.43,,1,Leningrad,Jul
11,Otis Chandler,USA,16.41,,1,San Jose,Mar 21
12,John Savidge,GBR,16.37,,1,Berlin,Aug 30
13,Mason Benner,USA,16.33,,1,Visalia,May 23
14,Vartan Ovsepyan,URS,16.31,,,Chatkov,Sep
15,James Fuchs,USA,16.29,,1,New York,Jun 13
16,Virgil Elwess,USA,16.28,,1,Santa Barbara,Apr 18
16,Alcide Dambros,BRA,16.28,,1,Sao Paulo,Nov 15
18,John Bauer,USA,16.24,,1,Champaign,Feb 28
19,Heino Heinaste,URS,16.21,,,Moscow,Jul 19
20,Petar Sarcevic,YUG,16.15,,1,Athens,Jun 28
21,Don Vick,USA,16.10,,4,Compton,Jun 05
22,Samuel Adams,USA,16.08,,1,Berkeley,May 23
23,Stan Lampert,USA,16.06,,1,New York,Jun 06
24,Albert Thompson,USA,16.05,,1,New York,Feb 24
25,Joseph McLaughlin,USA,16.04,,1,Philadelphia,May 19
1,Bernard Mayer,USA,16.79,i,2,Dayton,Jun 27
2,James Fuchs,USA,16.58,i,3,New York,Feb 14
