rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Elmer Niklander,FIN,14.86,,1,Helsinki,Jul 19
2,Ralph Rose,USA,14.825,,1,Palo Alto,Mar 22
2,Patrick McDonald,USA,14.825,,1,New York,Sep 20
4,Einar Nilsson,SWE,14.44,,1,London,Jul 5
5,Lawrence Whitney,USA,14.39,,1,Cambridge,May 31
6,Russell Beatty,USA,14.36,,2,Cambridge,May 31
7,Arthur Kohler,USA,14.15,,3,"Cambridge, MA",May 31
8,John Lawlor,USA,14.02,,1,Brookline,Jun 28
9,Imre Mudin,HUN,14.00,,1,Wien,Jul 27
10,Harry G. Kanzler,USA,13.925,,4,Cambridge,May 31
11,Leander Talbott,USA,13.83,,1,Philadelphia,Apr 26
12,Géza Pogány,HUN,13.70,,1,Budapest,Jul 6
13,Lars Hornborg,FIN,13.66,,,Turku,May 25
14,Aurelio Lenzi,ITA,13.51,,1,Milan,Sep 21
15,Edgar Caughey,USA,13.49,,1,Wellington,Dec 26
16,P. Donovan,USA,13.47,,1,"Oakland, CA",Sep  9
17,Sándor Toldi,HUN,13.40,,1,Wien,Sep 14
18,Julian J. Elliott,USA,13.36,,2,"Travers Island, NY",Sep 20
19,R.A. Sheppard,USA,13.33,,2,"Cambridge, MA",May 24
20,Karl Halt,GER,13.32,,1,München,Jul 30
21,Arthur Bartlett,USA,13.29,,3,"Cambridge, MA",May 24
22,Carl Wolff,USA,13.26,,1,"Portland, OR",Jun 16
23,Karl Michl,AUT,13.25,,1,Wien,May 22
24,Grover W. Bedeau,USA,13.23,,1,"Berkeley, CA",Apr 19
24,Patrick Keane,IRL,13.23,,1,Mallow,Jul 20
1,Arthur Kohler,USA,14.46,i,1,"Ann Arbor, MI",Mar 22
2,C.E. Van Gent,USA,13.80,i,1,"Chicago, IL",Mar 29
3,William F. Roos,USA,13.21,i,1,"New Haven, CT",May 17
