rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Parry O'Brien,USA,18.09,,1,Toronto,Jul 23
2,Tom Jones,USA,18.00,,1,Athens,May 21
3,William Nieder,USA,17.66,,1,Lawrence,May 20
4,Ray Martin,USA,17.53,,2,Los Angeles,May 20
5,Don Vick,USA,17.50,,1,Alhambra,Sep 3
6,Jiri Skobla,TCH,17.46,,1,Prague,Oct 30
7,Tom Meyer,USA,17.43,,3,Los Angeles,May 20
8,Vartan Ovsepyan,URS,17.17,,1,Erivan,Oct
9,Roosevelt Grier,USA,17.15,,1,University Park,May 14
10,Otto Grigalka,URS,17.05,,1,Warsaw,Aug 2
11,Felix Pirts,URS,17.01,,2,Tbilisi,Nov 16
12,Wilfred Bangert,USA,16.88,,1,Chicago,May 30
13,Kenneth Bentum,USA,16.73,,2,New York,May 27
14,William Wright,USA,16.70,,7,Los Angeles,Jun 18
15,Dietrich Urbach,FRG,16.65,,1,Freiburg,Oct 15
16,Juan Kahnert,ARG,16.64,,,Berkeley,Apr 23
17,Janos Mihalyfi,HUN,16.62,,1,Budapest,Oct 09
18,David Owen,USA,16.58,,1,Columbus,May 28
19,Gordon Holz,USA,16.57,,1,Evanston,May 14
20,Clyde Wetter,USA,16.56,,2,Los Angeles,Jun 10
20,Boris Balyayev,URS,16.56,,,Moscow,Jul 08
22,Tom Bonorden,USA,16.55,,1,"Denton, TX",May 05
23,Silvano Meconi,ITA,16.51,,2,Freiburg,Oct 15
24,Dick Bronson,USA,16.49,,4,Los Angeles,Jun 10
25,Georgiy Fedorov,URS,16.46,,,,
1,Parry O'Brien,USA,18.12,i,1,New York,Feb 19
