rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Janus Robberts,RSA,21.97,,1,Eugene,Jun 2
2,John Godina,USA,21.95,,1,Stanford,Jun 9
3,Adam Nelson,USA,21.53,,1,Rüdlingen,Aug 19
4,Manuel Martínez,ESP,21.35,,1,San Sebastián,Aug 18
5,Yuriy Bilonog,UKR,20.98,,1,Prague,Jun 18
5,Arsi Harju,FIN,20.98,,1,Lapinlahti,Jul 22
7,Andy Bloom,USA,20.94,,1,Indianapolis,Jul 22
8,Andrey Mikhnevich,BLR,20.92,,1,Minsk,Jul 13
9,Dragan Peric,YUG,20.91,,5,Edmonton,Aug 4
10,Burger Lambrechts,RSA,20.90,,1,Port Elizabeth,Feb 16
11,Tepa Reinikainen,FIN,20.88,,1,Lapinlahti,Jul 22
12,Paolo dal Soglio,ITA,20.86,,1,Cuneo,Sep 08
13,Brad Snyder,CAN,20.79,,1,Knoxville,Apr 14
14,Ville Tiisanoja,FIN,20.78,,3,Lapinlahti,Jul 22
14,Conny Karlsson,FIN,20.78,,7,Edmonton,Aug 04
16,Mikulás Konopka,SVK,20.66,,1,Ostrava,May 31
17,Milan Haborák,SVK,20.58,,1,Nitra,Jul 07
18,Jani Illikainen,FIN,20.56,,1,Turin,Aug 04
19,Brian Miller,USA,20.55,,2,Des Moines,Apr 28
20,Pavel Chumachenko,RUS,20.54,,2,Bremen,Jun 23
21,John Davis,USA,20.53,,3,Stanford (Palo Alto),Jun 09
22,Petr Stehlík,CZE,20.50,,1,Turnov,May 20
23,Zsolt Bíber,HUN,20.47,,1,Budapest,May 27
24,Joachim Olsen,DEN,20.43,,2,"Eugene, OR",Jun 02
24,Kevin Toth,USA,20.43,,2,"Indianapolis, IN",Jul 22
1,Pavel Chumachenko,RUS,20.91,i,1,Moscow,Feb 16
