rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Marianne Adam,GDR,21.60,,1,Berlin,Aug 06
2,Helena Fibingerova,TCH,21.43,,1,Ostrava,Jun 05
3,Ivanka Khristova,BUL,21.09,,2,Sofia,Jun 12
4,Esfir Krachevskaya,URS,21.02,,1,Moscow,Jul 27
5,Ilona Schoknecht,GDR,20.12,,2,Erfurt,Aug 23
6,Faina Melnik,URS,19.88,,3,Hannover,Aug 02
7,Brunhilde Löwe,GDR,19.73,,1,Potsdam,Aug 17
8,Margita Droese,GDR,19.71,,1,Potsdam,Jul 06
9,Elena Stoyanova,BUL,19.46,,1,Varna,Sep 07
10,Mihaela Loghin,ROU,19.15,,1,Heidenheim,Aug 30
11,Birgit Haarnagel,GDR,19.13,,3,Halle,Jun 01
12,Tamara Bufetova,URS,19.12,,1,Moscow,Jun 20
13,Rimma Makauskaite,URS,18.93,,1,Vilnius,Jul 18
14,Brigitte Griessing,GDR,18.92,,5,Erfurt,Aug 23
15,Eva Wilms,FRG,18.89,,1,Innsbruck,Sep 27
16,Ludwika Chewinska,POL,18.80,,1,Bydgoszcz,Jun 27
17,Valentina Cioltan,ROU,18.73,,1,Bucharest,Aug 01
18,Nina Isayeva,URS,18.65,,1,Gomel,Aug 21
19,Natalya Nosenko,URS,18.62,,2,Lvov,Sep 02
20,Helma Knorscheidt,GDR,18.58,,1,Potsdam,Aug 10
21,Antonina Ivanova,URS,18.40,,1,Leselidze,May 17
22,Radostina Bakhchevanova,BUL,18.38,,1,Sofia,Aug 30
23,Raisa Taranda,URS,18.36,,1,Armavir,Aug 03
24,Vera Tsapkalenko,URS,18.20,,1,Nikolayev,Sep 06
25,Maria Elena Sarria,CUB,18.03,A,1,Mexico City,Oct 16
