rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Galina Zybina,URS,15.42,,1,Frunze,Oct 1
2,Klavdia Tochenova,URS,15.09,,1,Turku,Aug 2
3,Tamara Tishkevich,URS,14.94,,1,Kiev,Jun 11
4,Tatyana Sevryukova,URS,14.93,,1,Moscow,Sep 14
5,Anna Andreyeva,URS,14.83,,,,
6,Gertrud Kille,FRG,14.61,,1,Berlin,Jun 29
7,Marianne Werner,FRG,14.57,,2,Helsinki,Jul 26
8,Lea Maremaae,URS,14.06,,1,Tartu,Jun 14
9,Maria Radosavljevic,YUG,13.85,,,Simrishamn,Aug 3
10,Vera Guchkova,URS,13.84,,,,
11,Lyubov Yermolenko,URS,13.78,,1,Riga,Aug 07
12,Jaroslava Kritkova,TCH,13.75,,1,Prague,Jun 27
13,Maria Kuznetsova,URS,13.70,,,,
14,Anna Kustova,URS,13.59,,Q,Leningrad,Aug 25
15,Antonina Tsymot,URS,13.55,,,,
16,Maria Feher,HUN,13.43,,1,Budapest,Aug 16
17,Nadja Kotlusek,YUG,13.37,,1,Ljubljana,Sep 07
18,Yvette Williams,NZL,13.35,,6,Helsinki,Jul 26
19,Nina Romashkova,URS,13.33,,1,Odessa,Aug 11
19,Marta Brigmane,URS,13.33,,8,Leningrad,Aug 25
21,Amelia Piccinini,ITA,13.32,,,Turin,Sep 21
22,Galina Yermolenko-Grinvald,URS,13.29,,,,
23,Dorothea Kress,FRG,13.26,,3,Berlin,Jun 29
23,Paulette Veste,FRA,13.26,,1,Colombes,Aug 24
25,Lore Klute,FRG,13.14,,2,Bad Kreuznach,Oct 05
