rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Leroy Burrell,USA,9.96,,1,Villeuneve d´Ascq,Jun 29
2,Linford Christie,GBR,10.02,,1s2,Auckland,Jan 28
2,Daniel Sangouma,FRA,10.02,,2,Villeuneve d´Ascq,Jun 29
4,Calvin Smith,USA,10.04,A,2rA,Sestriere,Aug 8
5,Davidson Ezinwa,NGR,10.05,,1,Bauchi,Jan 3
5,Mike Witherspoon,USA,10.05,,1,Sevilla,May 30
5,Carl Lewis,USA,10.05,,1,Norwalk,Jun 15
8,Patrick Williams,JAM,10.06,,1,Modesto,May 5
9,Michael Marsh,USA,10.08,A,3r2,Sestriere,Aug 8
10,Jon Drummond,USA,10.10,,1,Arlington,Apr 14
10,Olapade Adeniken,NGR,10.10,,1,Malmö,Aug 7
12,Abdullahi Tetengi,NGR,10.12,,2,Bauchi,Jan 03
12,Andre Cason,USA,10.12,,1,Kingston,May 05
12,Robson C. Da Silva,BRA,10.12,,1,Manaus,Sep 16
15,Henry Neal,USA,10.15,,1,Austin,May 12
16,Frank Fredericks,NAM,10.16,A,1,Fort Collins,May 19
16,Dennis Mitchell,USA,10.16,,2,Sevilla,May 30
18,Daron Council,USA,10.17,,-,Fort-de-France,Apr 28
18,Raymond Stewart,JAM,10.17,,3,Sevilla,May 30
20,Atlee Mahorn,CAN,10.18,A,1,Provo,May 24
20,Talal Mansour Al Rahim,QAT,10.18,,1,Kajaani,Jul 27
22,Max Moriniere,FRA,10.19,,1h2,Split,Aug 27
22,Bruno Marie-Rose,FRA,10.19,,2s1,Split,Aug 28
24,John Mair,JAM,10.20,,1,Ponce,May 25
24,Daniel Sangouma,FRA,10.20,,1r1,Dijon,Jun 24
24,Chidi Imoh,NGR,10.20,,3r1,Zürich,Aug 15
24,Innocent Asonze,NGR,10.20,,2h3,Lagos,Aug 24
24,John Regis,GBR,10.20,,4s1,Split,Aug 28
