rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Rufus Haggard,USA,2.013,,1,Chicago,Jun 12
2,Anton Burg,USA,1.988,,2,Chicago,Jun 12
3,Robert King,USA,1.975,,1,Cambridge,May 29
4,Charles Anson,USA,1.956,,2,Columbus,May 15
5,Harold Osborn,USA,1.943,,1,Philadelphia,Jul 5
6,Henry Coggeshall,USA,1.937,,3=,Chicago,Jun 12
7,Garland Shepherd,USA,1.930,,1,Lawrence,Apr 17
7,Justin Russell,USA,1.930,,1,Chicago,Jun 26
9,Ivan Nilsson,SWE,1.93,,1,Oslo,Jul 29
9,Torbern Cassel,SWE,1.93,,1,Linköping,Sep 12
11,Cornelius O'Connor,IRL,1.924,,1,Cavan,Sep 19
12,Richard Wiggins,USA,1.921,,1=,Champaign,May 15
12,Thomas Miller,USA,1.921,,1=,Champaign,May 15
14,Pierre Lewden,FRA,1.92,,1,Paris,Aug 15
15,Louis White,USA,1.918,,1,Lafayette,May 22
15,Tom Work,USA,1.918,,2=,Cambridge (MA),May 29
15,Gail Robinson,USA,1.918,,2,Philadelphia,Jul 05
18,Charles McGinnis,USA,1.911,,1,Madison,May 22
19,Karl Österberg,SWE,1.91,,2=,Stockholm,Sep 05
19,Egil Bjørn-Hansen,NOR,1.91,,2=,Stockholm,Sep 05
21,Oather Hampton,USA,1.905,,1=,Palo Alto,Apr 17
21,Alden Ross,USA,1.905,,1,Los Angeles,May 15
23,James Stewart,USA,1.902,,1,Austin,May 08
23,Lee Phillips,USA,1.902,,2,Austin,May 08
25,Sverre Helgesen,NOR,1.90,,1,Oslo,Aug 22
25,Ferenc Orban,HUN,1.90,,1,Budapest,Aug 29
25,Kornél Késmárki,HUN,1.90,,2,Budapest,Aug 29
25,Herbert Adolfsson,SWE,1.90,,1,Huskvarna,Aug 29
25,Nils Hultkrantz,SWE,1.90,,1,Stockholm,Sep 11
1,Lloyd Stern,USA,1.981,i,1,Chicago,Jan 29
2,Harold Osborn,USA,1.949,i,1,New York,Feb 04
