rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Cornelius Johnson,USA,2.076,,1=,New York,Jul 12
1,David Albritton,USA,2.076,,1=,New York,Jul 12
3,Walter Marty,USA,2.051,,1,Palo Alto,May 9
4,Kalevi Kotkas,FIN,2.04,,1,Göteborg,Sep 1
5,Melvin Walker,USA,2.032,,1=,Princeton,Jul 4
6,Delos Thurber,USA,2.019,,1=,Columbus,Jun 13
7,Lauri Kalima,FIN,2.01,,1,Jyväskylä,Sep 5
8,Edward Burke,USA,2.007,,4=,Princeton,Jul 4
9,Leslie Watson,USA,2.003,,1,San Francisco,May 23
10,Yoshiro Asakuma,JPN,2.00,,1,Tokyo,May 9
11,Gustav Weinkötz,GER,1.995,,1,Köln,May 16
12,Knewell Rushforth,USA,1.981,,2,Milwaukee,Jun 27
12,Al Threadgill,USA,1.981,,1,New York,Aug 16
14,Hiroshi Tanaka,JPN,1.98,,2,Köln,Aug 10
15,Humbert Smith,USA,1.975,,2,Palo Alto,May 09
16,Kimio Yada,JPN,1.97,,5,Berlin,Aug 02
17,Edwin Thacker,RSA,1.969,,1,Port Elizabeth,Apr 13
17,Gilbert Cruter,USA,1.969,,1,Lawrence,Apr 18
19,Leo Williams,USA,1.965,,,Columbus,Jun 06
19,Lester Steers,USA,1.965,,1,Eureka,Jun 06
21,Kenneth Heywood,USA,1.962,,1,Tucson,May 09
22,Isamu Kashima,JPN,1.96,,1,Tokyo,Oct 31
23,Jack Buckman,USA,1.956,,1,Lawrence,Apr 18
23,Tom Stevens,USA,1.956,,1=,Des Moines,Apr 25
23,Linn Philson,USA,1.956,,1=,Des Moines,Apr 25
23,William Ashford,USA,1.956,,1,Fresno,May 16
23,George Verrill,USA,1.956,,1,Travers Island,Jun 06
23,George Spitz,USA,1.956,,2=,Cambridge,Jun 27
1,Edward Burke,USA,2.056,i,1,New York,Feb 22
2,Gilbert Cruter,USA,2.054,i,1,Fort Collins,Feb 22
3,Al Threadgill,USA,2.026,i,1,New York,Jan 11
4,George Spitz,USA,2.007,i,2=,New York,Feb 15
4,Linn Philson,USA,2.007,i,1,Notre Dame,Mar 14
