rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Francena McCorory,USA,49.48,,1,"Sacramento, CA",Jun 28
2,Sanya Richards-Ross,USA,49.66,,2,"Sacramento, CA",Jun 28
3,Courtney Okolo,USA,50.03,,1,"Lubbock, TX",May 18
4,Novlene Williams-Mills,JAM,50.05,,1,"Kingston, JAM",Jun 29
5,Stephenie Ann McPherson,JAM,50.12,,2,Bruxelles,Sep 05
6,Christine Day,JAM,50.16,,2,"Kingston, JAM",Jun 29
7,Amantle Montsho,BOT,50.37,,2,Shanghai,May 18
8,Kendall Baisden,USA,50.46,,2,"Lubbock, TX",May 18
9,Natasha Hastings,USA,50.53,,3,"Sacramento, CA",Jun 28
10,Libania Grenot,ITA,50.55,,1,Rovereto,Jul 19
11,Phyllis Francis,USA,50.59,,2,"Eugene, OR",Jun 13
12,Joanna Atkins,USA,50.74,,2,Edmonton,Jul 06
13,Allyson Felix,USA,50.81,,5,Shanghai,May 18
13,Jessica Beard,USA,50.81,,4,"Sacramento, CA",Jun 28
15,Anastasia Le-Roy,JAM,50.84,,4,"Kingston, JAM",Jun 29
16,Kabange Mupopo,ZAM,50.87,,4,Marrakech,Sep 13
17,Deedee Trotter,USA,50.98,,1sf2,"Sacramento, CA",Jun 27
18,Kaliese Spencer,JAM,51.00,,7,Shanghai,May 18
18,Olha Zemlyak,UKR,51.00,,5,Marrakech,Sep 13
20,Briana Nelson,USA,51.05,,4sf1,"Sacramento, CA",Jun 27
21,Shamier Little,USA,51.06,,1,"Lexington, KY",May 18
22,Adekoya Oluwakemi,BRN,51.11,,1h3,Incheon,Sep 27
23,Folasade Abugan,NGR,51.21,,1r1,Loughborough,Jul 19
24,Kineke Alexander,VIN,51.23,,1r1,"San Marcos, TX",Apr 26
24,Shericka Williams,JAM,51.23,,5,"Kingston, JAM",Jun 29
