rank,name,nat,perf_0,perf_1,perf_2,city,date
1,George Smith,NZL,15.2,*,1,Auckland,Mar 08
2,Frederick Moloney,USA,15.4,*,1,Chicago,Jun 16
3,Edwin Clapp,USA,15.5,*e,1s2,New York,May 31
4,John Converse,USA,15.6,*,1,New York,May 31
5,Frederick Schule,USA,15.8,*,1h2,Philadelphia,Apr 26
5,Joseph G Willis,USA,15.8,*,1s1,New York,May 31
5,George Garnier,GBR,15.8,*,,,
8,Herbert C. Cheek,USA,16.0,*,1,Chicago,Jun 07
8,Michael B. Herbert,USA,16.0,*,1,Chicago,Jun 21
10,S.A. Allen,USA,16.2,*,1,New York,May 17
10,Loyd T. Ketchum,USA,16.2,*,1,Philadelphia,May 24
10,H. Thurman Chapman,USA,16.2,*,1,Des Moines,May 29
10,E.S. Wilson,USA,16.2,*,1h3,New York,May 30
10,Hans Due,NOR,16.2,1m,1,Kristiania,Aug 03
10,Thomas Kiely,IRL,16.2,*,1,Limerick,Sep 14
16,Alfred Trafford,GBR,16.3,e,2,London,Jul 05
17,James Weller,USA,16.4,*,1,Berkeley,Apr 05
17,Edward S. Amsler,USA,16.4,*,1,Princeton,May 03
17,Tasker Howard,USA,16.4,*e,2,New York,May 17
17,Ivy A. Stevens,USA,16.4,*,1,Chicago,Jun 7
21,Paddy Harding,IRL,16.5,*e,2,Limerick,Sep 14
22,Bert Chaplin,USA,16.6,*,1,Berkeley,Mar 15
22,F.W. Bird,USA,16.6,*,1h2,Cambridge/MA,Apr 11
22,William C. Lowe,USA,16.6,*,1,Syracuse,May 10
22,William Percy Phillips,GBR,16.6,e,3,London,Jul 05
22,J.J. Curry,IRL,16.6,*e,3,Limerick,Sep 14
22,Samuel S. Jones,USA,16.6,*,1hcp,New York,Sep 27
22,Cornelius H. Gardner,AUS,16.6,*,1,Melbourne,Nov 10
22,Jack Shideler,USA,16.6,*,1,Indianapolis,
