rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Rod Milburn,USA,13.24,,1,München,Sep 7
2,Guy Drut,FRA,13.3,,1,Formia,May 11
2,Thomas Hill,USA,13.3,,1s1,Eugene,Jun 2
2,Frank Siebeck,GDR,13.3,,1,Potsdam,Jun 15
2,Alejandro Casanas,CUB,13.3,,1,Warsaw,Jun 28
6,Jerry Wilson,USA,13.4,,1,Eugene,Jun 2
6,Leszek Wodzynski,POL,13.4,,1,Warsaw,Aug 17
6,Adam Galant,POL,13.4,,2,Warsaw,Aug 17
9,Willie Davenport,USA,13.50,,4,München,Sep 7
10,Danny Smith,BAH,13.5,,1,Gainsville,May 05
10,Paul Gibson,USA,13.5,A,1,El Paso,May 06
10,Charles Rich,USA,13.5,,2s1,Eugene,Jun 2
10,Ricky Stubbs,USA,13.5,,2,Eugene,Jun 2
10,Marek Józwik,POL,13.5,,1r2,Warsaw,Jun 3
10,Tommy Lee White,USA,13.5,,2r1,Oslo,Aug 2
16,Jeffrey Howser,USA,13.6,,1,Hato Rey,Apr 29
16,Manfred Schumann,FRG,13.6,,1r2,Bonn,May 21
16,Marc Noé,FRA,13.6,,1,Colombes,Jun 14
16,Petr Cech,TCH,13.6,,3,Prague,Jun 21
16,Lubomir Nádenícek,TCH,13.6,,4,Prague,Jun 21
16,Miroslaw Wodzynski,POL,13.6,,1h2,Warsaw,Aug 27
16,Günther Nickel,FRG,13.6,,1r2,Köln,Jul 06
16,Viktor Myasnikov,URS,13.6,,1s,Moscow,Jul 19
16,Godfrey Murray,JAM,13.6,*,1s2,Lawrence,Apr 21
16,Randy Lightfoot,USA,13.6,*,2s2,Lawrence,Apr 21
16,Ervin Hall,USA,13.6,*,2h2,Philadelphia,May 14
16,Efren Gipson,USA,13.6,*,1h1,Wichita,May 26
