rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Renaldo Nehemiah,USA,12.93,,1,Zürich,Aug 19
2,Greg Foster,USA,13.03,,2,Zürich,Aug 19
3,Alejandro Casanas,CUB,13.36,,2,Rome,Sep 6
4,Sam Turner,USA,13.38,,3,Zürich,Aug 19
5,Dedy Cooper,USA,13.40,,2,Modesto,May 16
6,Tonie Campbell,USA,13.44,,1h1,Wichita,May 29
7,Willie Gault,USA,13.52,,1h3,Baton Rouge,Jun 5
7,Javier Moracho,ESP,13.52,,4,Koblenz,Aug 26
9,Julius Ivan,TCH,13.55,,1,Ostrava,Aug 30
10,Rod Milburn,USA,13.59,,3,Köln,Aug 23
11,Charles Foster,USA,13.63,,5,Koblenz,Aug 26
12,Milan Stewart,USA,13.65,,6,Westwood,May 10
12,Thomas Munkelt,GDR,13.65,,1,Villeneuve d'Ascq,Jul 05
12,Larry Cowling,USA,13.65,,1,Bucharest,Jul 23
12,Andreas Schlisske,GDR,13.65,,1,Jena,Aug 08
16,Greg Veatch,USA,13.66,,4,Modesto,May 16
17,Romuald Giegiel,POL,13.68,,1,Warsaw,Aug 02
17,Plamen Krastev,BUL,13.68,,1,Sarajevo,Sep 20
19,Vasko Nedyalkov,BUL,13.70,,2,Sofia,May 30
19,Karl-Werner Dönges,FRG,13.70,,1,Warsaw,Jul 05
21,Wessel Bosman,RSA,13.71,A,1,Pretoria,May 02
21,Kerry Bethel,USA,13.71,,1,Raleigh NC,May 03
23,Dawie Kuun,RSA,13.72,A,1,Germiston,Apr 27
24,Pal Palffy,ROU,13.73,,2,Bucharest,Jul 23
24,Yuriy Chervanyev,URS,13.73,,1h1,Bologna,Sep 12
