rank,name,nat,perf_0,perf_1,perf_2,city,date
1,G.C. Rishards,USA,15.8,*,1,,
1,Godfrey Shaw,GBR,15.8,*e,2,Stamford Bridge,Jun 24
3,Frederick Puffer,USA,16.0,*,1,Chicago,Sep 16
4,C.C. Russell,USA,16.2,e,1,New York,May 27
4,O.W. Shead,USA,16.2,*,1,Worcester (US),Sep 2
6,E.L. Collis,GBR,16.4,*,1,London,Mar 23
6,H.T. Gedge,GBR,16.4,*,1,London,Mar 23
6,Hugh LeFleming,GBR,16.4,*,3,London,Mar 23
6,M.L. van Ingen,USA,16.4,*,1,New York,May 27
6,B.M. Hurd,USA,16.4,*,1,Boston,Aug 26
6,A. Gerish,USA,16.4,e,-,New York,Oct
12,L.E. Pilkington,GBR,16.5,*e,4,London,Mar 23
12,W.H. Boswords,USA,16.5,*e,2,Berkeley Oval,May 13
12,J. King,GBR,16.5,*,2,Northampton,Jul 01
15,D.B. Lyman,USA,16.6,*,1,New Haven,Apr 30
15,Stephen Chase,USA,16.6,*,1,Worcester (USA),May 24
15,Arthur J. Gould,GBR,16.6,*e,3,Northampton,Jul 01
15,C.H. Keep,USA,16.6,*,1h,Chicago,Sep 16
15,William Garcelon,USA,16.6,*,,,
20,William J. Oakley,GBR,16.8,*e,3,Oxford,Mar 11
20,Henry Williams,USA,16.8,*e,3,New York,May 13
20,B.R. Biggs,USA,16.8,*e,2,Annapolis,May 21
20,Thomas Kiely,IRL,16.8,*,1,Dublin,Aug 12
20,Eugene W. Goff,USA,16.8,*e,2,Bayonne (USA),Oct 07
20,Ernest Cady,USA,16.8,*,1,New Haven,Oct 28
