rank,name,nat,perf_0,perf_1,perf_2,city,date
1,llmari Salminen,FIN,31.02.2,,1,Viipuri,Jul 1
2,Arvo Askola,FIN,31.03.2,,2,Turin,Sep 7
3,János Kelen,HUN,31.05.8,,-,Budapest,Nov 25
4,Lauri Virtanen,FIN,31.06.9,,3,Tampere,Jul 29
5,Jean-Gunnar Lindgren,SWE,31.18.4,,1,Stockholm,Aug 19
6,Choshun Ryu,JPN,31.20.2,,1,Tokyo,Apr 14
7,Tadao Najima,JPN,31.24.6,,2,Tokyo,Apr 14
8,Hideo Tanaka,JPN,31.27.0,,3,Tokyo,Apr 14
9,Henry Nielsen,DEN,31.27.4,,3,Turin,Sep 7
10,Ragnar Magnusson,SWE,31.36.6,,2,Stockholm,Aug 19
11,Paavo Nurmi,FIN,31.39.2,,1,Viipuri,Sep 16
12,Janne Torikka,FIN,31.39.4,,2,Viipuri,Sep 16
13,Gunnar Andersson,SWE,31.42.0,,3,Stockholm,Aug 19
14,Max Syring,GER,31.42.8,,1,Stockholm,Sep 02
15,Henning Sundesson,SWE,31.44.4,,4,Stockholm,Aug 19
16,Väinö Sipilä,FIN,31.46.0,,1,Viiala,Aug 05
17,Armas Toivonen,FIN,31.46.2,,1,Pukinmäki,Jul 01
18,Béla Németh,HUN,31.50.4,,1,Budapest,Nov 25
19,Roger Ceballos,ARG,31.51.6,,1,Buenos Aires,Jul 01
20,Serafim Znamenskiy,URS,31.53.8,,1,Moscow,Aug 06
21,Otto Bree,GER,31.55.0,,3,Stockholm,Sep 02
22,Harry Ekman,SWE,31.55.6,,5,Stockholm,Aug 19
23,Gösta Hermansson,SWE,31.57.8,,6,Stockholm,Aug 19
24,Olle Möller,SWE,31.58.4,,1,Stockholm,Aug 10
25,Herbert Klos,GER,32.03.4,,1,Berlin,Jul 07
