rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Hannes Kolehmainen,FIN,31.27.4,,1,Tampere,Aug 2
2,Arvi Kokkonen,FIN,32.24.6,,2,Tampere,Aug 2
2,Carlo Speroni,ITA,32.24.6,,1,Milan,Sep 26
4,Albin Stenroos,FIN,32.32.0,,2,Kotka,Jun 7
5,George Wallach,GBR,32.34.8,e+,1,Glasgow,Apr 4
6,Tatu Kolehmainen,FIN,32.48.4,,1,Helsinki,Sep 20
7,Hjalmar Nyström,FIN,32.54.0,,2,København,Jul 7
8,Heikki Liimatainen,FIN,32.57.8,,3,Helsinki,Sep 20
9,Alexis Ahlgren,SWE,32.59.0,,1,Stockholm,Jun 26
10,Albert Klingborg,SWE,32.59.2,,2,Stockholm,Jun 26
11,Bror Modig,SWE,33.02.0,,1,Stockholm,Jun 7
12,Axel Berglund,SWE,33.03.8,,2,Stockholm,Jun 7
13,Karl Sundholm,SWE,33.04.1,,3,Stockholm,Jun 7
14,Amar Alim Arbidi,FRA,33.09.0,,1,Lyon,Apr 12
15,Magnus Thorsell,SWE,33.12.5,,3,Stockholm,Jul 14
16,Rochard,FRA,33.14.0,e,2,Lyon,Apr 12
17,Lauri Majanen,FIN,33.15.8,,3,Tampere,Aug 02
18,Thomas H. Fennah,GBR,33.16.7,*1,1,London,Apr 18
19,Nils Carlsson,SWE,33.18.5,,3,Stockholm,Jun 26
20,Joseph Servella,FRA,33.28.8,,1,Nice,Jul 26
21,Pierre Lalaimode,FRA,33.30.0,e,3,Lyon,Apr 12
22,Mikko Stietz,FIN,33.35.2,,2,Helsinki,May 21
23,John James Daly,IRL,33.39.6,*1,2,London,Apr 18
24,Bror Fock,SWE,33.40.0,,1,København,Jul 11
25,Gustaf Mattsson,SWE,33.40.6,,4,Stockholm,Jun 26
