rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Stig Håkansson,SWE,7.50,,1,Sigtuna,Oct 8
2,Herb Douglas,USA,7.41,,,,
3,Elroy Hirsch,USA,7.37,,1,Ann Arbor,May 13
3,Norwood Ewell,USA,7.37,,1,Philadelphia,Apr 29
5,Pat Turner,USA,7.36,,1,Los Angeles,May 27
5,Billy Joe Grimes,USA,7.36,,1,Norman,May 13
5,Sergey Kuznetsov,URS,7.36,,,,
8,Ted Haese,USA,7.31,,1,Austin,Apr 1
9,Edsel Curry,USA,7.30,,1,Modesto,Jun 3
10,Pekka Simola,FIN,7.29,,1,Jyväskylä,Jun 4
11,Göran Waxberg,SWE,7.24,,3,Stockholm,Aug 19
11,Sims,USA,7.24,,,,
13,Kurt Albert,GER,7.23,,P,Freiburg,May 28
14,Jaroslav Fikejz,TCH,7.22,,1,Prague,Jul 30
15,Robert Joanblanq,FRA,7.21,,1,Asniéres,Jun 03
15,Alberto Eggeling,CHI,7.21,,,Santiago de Chile,Nov 12
17,Edward Tunnicliff,USA,7.20,,1,Champaign,May 19
17,Alfred Lawrence,USA,7.20,,2,Pasadena,Jun 10
19,Gavriil Korobkov,URS,7.19,,D,Moscow,Aug 17
20,Nic Fonck,LUX,7.18,,1,Luxembourg,May 01
20,Gerhard Cron,GER,7.18,,1,Hamburg,Aug 03
20,Ralph Walton,USA,7.18,,1,Madison,May
20,Harry Askew,GBR,7.18,,,,
24,Paddy Guiney,IRL,7.16,,1,Kilkenny,Jun 18
24,Gustaf Strand,SWE,7.16,,2,Stockholm,Jul 13
24,Hermann Nacke,GER,7.16,,P,Kiel,Aug 20
1,Norwood Ewell,USA,7.46,i,1,New York,Feb 26
2,Claude Young,USA,7.42,i,1,Champaign,Feb 26
2,Herbert Douglas,USA,7.42,i,2,New York,Feb 26
4,Eulace Peacock,USA,7.40,i,3,New York,Mar 26
