rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Timothy Ahearne,IRL,7.57,,1,Kanturk,Aug 6
2,Francis Irons,USA,7.48,,1,London,Jul 22
3,Calvin Bricker,CAN,7.22,,1,Montreal,Jun 6
4,Percy Kirwan,IRL,7.21,,1,Rome/NY,Sep 25
5,William Brennan,IRL,7.15,,1,Cork,May 30
6,Ted Vandervoort,USA,7.13,,1,Stanford/Palo Alto,Apr 08
7,Denis Murray,IRL,7.08,,1,Dublin,Aug 1
8,Edward Cook,USA,7.07,,1,Philadelphia,Jun 6
9,Frank Mount-Pleasant,USA,7.06,,2,Philadelphia,Jun 6
10,Frank Lukeman,CAN,7.04,,1,Montréal,Oct 3
11,John O'Connell,USA,7.03,,3,Philadelphia,Jun 6
12,Charles Hervoche,FRA,7.00,,1,St.-Cloud,Jul 05
13,T.G. Kelly,IRL,6.96,,,Crangwell,Jul 28
14,H.E. Haddon,RSA,6.93,,1,Cape Town,Apr 20
15,Lewis,USA,6.91,,1,"Urbana, IL",May 16
16,L.H. Simons,USA,6.90,,2,Princeton,May 16
17,Bairde,USA,6.89,A,1,Salt Lake City,May 02
17,John Mayhew,USA,6.89,,1,"Brookline, MA",Jun 20
19,Charles A. Kuykendall,USA,6.88,,1,Pullman,May 16
19,William Watt,IRL,6.88,,2,Dublin,Jun 08
19,Arthur Hoffmann,GER,6.88,,1,Danzig,Jul 04
22,Elliott Gibbs,USA,6.87,,1,Los Angeles,Mar 28
22,John R. Kilpatrick,USA,6.87,,1,New York,Jun 13
24,Walter C. Rathbone,USA,6.86,,1,Stanford/Palo Alto,May 02
24,John Brennan,USA,6.86,,5,London,Jul 22
