rank,name,nat,perf_0,perf_1,perf_2,city,date
1,George Brown,USA,7.89,,1,Dayton,Jun 26
2,Ödön Földessy,HUN,7.76,,1,Budapest,Sep 19
3,John Bennett,USA,7.72,,1,Lincoln,Jun 20
4,Masaji Tajima,JPN,7.66,,1,Dortmund,Aug 13
5,Hector Hogan,AUS,7.65,,1,Brisbane,Nov 14
6,F.Morgan Taylor Jr.,USA,7.63,,1,Philadelphia,Apr 25
7,Neville Price,RSA,7.60,,1,Austin,Mar 27
8,Henk Visser,NED,7.52,,1,Ryswyk,Jun 7
9,A. Sheppard,RHO,7.46,,1,Nkana,Jul 13
10,Ahylton da Conceicao,BRA,7.43,,1,Curitiba,Mar 21
10,Robert Clark,USA,7.43,,1,Albuquerque,Jun 06
10,Ron Soble,USA,7.43,,2,Dayton,Jun 26
10,Viktor Leskevich,URS,7.43,,1,Moscow,Aug 24
14,Arnoldo Devonish,VEN,7.41,,1,Caracas,Nov 15
15,Robert Holland,USA,7.40,,1,Los Angeles,Apr 23
15,Karl Lewald,FRG,7.40,,1,Paderborn,Jul 19
15,Jorma Valkama,FIN,7.40,,1,Vuoksenniska,Jul 25
15,Leonid Grigoryev,URS,7.40,,2,Moscow,Aug 24
19,Harold Rall,RSA,7.39,,1,Salisbury,Apr 06
19,Robert Jones,USA,7.39,,1,Philadelphia,Apr 25
19,Wilhelm Porrassalmi,FIN,7.39,,1,Helsinki,Jul 01
19,Horst Ihlenfeld,GDR,7.39,,2,Stuttgart,Jul 15
23,Robert Ragsdale,USA,7.38,,1,Austin,Mar 27
23,Meredith Gourdine,USA,7.38,,3,Dayton,Jun 26
1,Meredith Gourdine,USA,7.55,i,1,New York,Feb 14
2,Jerome Biffle,USA,7.50,i,2,New York,Feb 14
