rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Claudia Testoni,ITA,11.3,,1,Garmisch-Partenkirchen,Jul 23
2,Siegfriede Dempe,GER,11.5,,1,Berlin,Jul 29
2,Anni Spitzweg,GER,11.5,,1A,Dresden,Aug 13
4,Liselotte Peter,GER,11.6,,2h1,Berlin,Jul 30
5,Valentina Fokina,URS,11.7,,1h,Gorkiy,Aug 4
5,Erika Biess,GER,11.7,,1,Marburg,Aug 9
5,Trebisonda Valla,ITA,11.7,,4,Dresden,Aug 13
5,Ruth Winnacker,GER,11.7,,1,Dresden,Aug 13
9,Shirley Curtin,AUS,11.8,*,1,Perth,Feb 04
9,Decima Norman,AUS,11.8,*,1,Sydney,Feb 04
9,Anni Steuer,GER,11.8,,2s1,Berlin,Jul 8
9,Maria Rogozina,URS,11.8,,1,Moscow,Jul 19
9,Karla Weizenhorn-Hahn,GER,11.8,,2,Hannover,Aug 6
9,Sigrid Dietl,GER,11.8,,2B,Dresden,Aug 13
15,Catharina Ter Braake,NED,11.9,,3,Aachen,Aug 06
15,Annemarie Westphal,GER,11.9,,2,Marburg,Aug 09
15,Galina Turova,URS,11.9,,1,Kharkov,Aug 10
18,Audrey Huskinsson,RSA,12.0,A,1,Pretoria,Apr 01
18,Ruth Engelhard,GER,12.0,,2h4,Berlin,Jul 08
18,Auguste-Rosel Hothum,GER,12.0,,1,Augsburg,Aug 12
18,Agatha Doorgeest,NED,12.0,,1,Amsterdam,Aug 20
18,Dorothy Jenkins,AUS,12.0,*,1,Melbourne,Nov 25
23,Barbara Burke,RSA,12.1,A,1h1,Krugersdorp,Apr 10
23,Yvonne Dingley,CAN,12.1,,1,Vancouver,Jul 01
23,Brigitte Seifert,GER,12.1,,3s2,Berlin,Jul 08
23,Gaëtane Boitel,FRA,12.1,,1,Strasbourg,Aug 06
23,Zoya Shulyakova,URS,12.1,,1h,Odessa,Jul 15
23,Inge Schmidt-Nielsen,DEN,12.1,,1,København,Oct 01
