rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Alfred Shrubb,GBR,15.13.6,*3,1,Chelmsford,Jul 15
2,Francis Edwards,GBR,15.21.3,*3,1,Cambridge,Nov 29
3,Douglas McNicol,GBR,15.34.4,*3,1,Norwich,Aug 05
4,Albert Highgate Aldridge,GBR,15.36.7,*3,2,Norwich,Aug 05
5,Arnold Churchill,GBR,15.39.8,*3,1,Cambridge,Mar 13
6,Arthur Saxon D. Smith,GBR,15.44.8,*3,1,London,Mar 31
7,Edvard Dahl,SWE,15.48.7,,1,Stockholm,Sep 10
8,John Svanberg,SWE,15.50.2,,2,Stockholm,Sep 10
9,John McGough,GBR,15.58.3,*3,1,Belfast,Jul 09
10,Joe M. Smith,GBR,16.02.7,*3,-,London,Jul 01
11,Hector Burk,NZL,16.03.6,*3,2,Christchurch,Mar 17
12,Frederick H. Hulford,GBR,16.04.2,*3,2,Chelmsford,Jul 15
13,William Steele,AUS,16.06.2,*3,1,Sydney,Nov 13
14,Dorando Pietri,ITA,16.08.1,*3,-,Modena,Aug 27
15,Warren E. Schutt,USA,16.08.2,*3,2,London,Mar 31
16,Gaston Ragueneau,FRA,16.08.3,*3,-,Gentilly,Dec 02
17,Louis Bouchard,FRA,16.08.7,*3,-,Gentilly,Dec 02
18,John H. Prendeville,NZL,16.12.3,*3,1hcp,Wellington,Mar 25
19,Samuel Stevenson,GBR,16.12.5,*3,1,Glasgow,Apr 01
20,Thure Bergvall,SWE,16.12.6,,3,Stockholm,Sep 10
21,Gustave Thomas,FRA,16.14.3,*3,-,Gentilly,Oct 22
22,Thomas Jack,GBR,16.17.3,*4,2,Glasgow,Jun 24
23,Harvey Cohn,USA,16.18.7,*3,1,New York,Sep 09
24,John J. McNamara,IRL,16.19.9,*4,1,Dublin,Jun 24
25,Josef Jansson,SWE,16.20.0,,1,Stockholm,Jun 11
1,William G. Frank,USA,16.11.0,iy3M,1,New York,Feb 18
