rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Keizo Hasegawa,JPN,15.62,,1,Yamagata,Aug 15
2,Geraldo de Oliveira,BRA,15.41,,1,Sao Paulo,Jun 19
3,Arne Åhman,SWE,15.40,,1,London,Aug 3
4,George Avery,AUS,15.36,,2,London,Aug 3
5,Henry Rebello,IND,15.29,,1,Lucknow,Feb 21
6,Lennart Moberg,SWE,15.27,,1,Södertälje,Jun 19
7,Ruhi Sarialp,TUR,15.07,,1,Ankara,May 22
8,Les McKeand,AUS,15.06,,1,Sydney,Feb 28
9,Preben Larsen,DEN,15.03,,1,Göteborg,Jun 20
10,Adhemar Ferreira da Silva,BRA,15.00,,2,Sao Paulo,Jun 19
11,Leonid Shcherbakov,URS,14.93,,,,
12,Erkki Koutonen,USA,14.92,,1=,Evanston,Jul 10
12,Bill Albans,USA,14.92,,1=,Evanston,Jul 10
14,Yasuji Yamada,JPN,14.89,,1,Tokyo,Jul 04
14,Valdemar Rautio,FIN,14.89,,1,Turku,Jul 13
16,Åke Hallgren,SWE,14.86,,3,Stockholm,Jul 09
17,Hide Kawamata,JPN,14.82,,2,Yamagata,Aug 15
18,Kevin Miller,AUS,14.78,,3,Sydney,Feb 28
19,Reino Hiltunen,FIN,14.73,,1,Vaasa,Jun 20
20,Boris Zambrimborts,URS,14.72,,,,
21,Stefan Sörensson,ISL,14.71,,1,Reykjavik,Jul 10
22,Robert Beckus,USA,14.67,,3,Evanston,Jul 10
22,Won Kwon-kim,KOR,14.67,,Q,London,Aug 03
24,Ake Hemmingsson,SWE,14.66,,2,Sala,Jun 13
24,Maximo Reyes,PER,14.66,,,,
