rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Christian Taylor,USA,18.11,,1,"Eugene, OR",May 27
2,Will Claye,USA,17.91,,1,"Sacramento, CA",Jun 23
3,Pedro P. Pichardo,CUB,17.60,,1,Lausanne (Pontaise),Jul 06
4,Chris Benard,USA,17.48,,2,"Sacramento, CA",Jun 23
5,Andy Díaz,CUB,17.40,,1,La Habana,Mar 17
6,Fabrizio Donato,ITA,17.32,,1,Pierre-Bénite,Jun 09
7,Jordan A. Díaz,CUB,17.30,A,1,Nairobi (Kasarani),Jul 14
8,Cristian Nápoles,CUB,17.27,,2,La Habana,Mar 17
8,Bin Dong,CHN,17.27,,3,"Eugene, OR",May 27
10,Donald Scott,USA,17.25,,3,"Sacramento, CA",Jun 23
11,Yaming Zhu,CHN,17.23,,2,Tianjin,Sep 03
12,Shuo Cao,CHN,17.22,,3,Tianjin,Sep 03
13,Nelson Évora,POR,17.19,,3,London (Olympic Stadium),Aug 10
14,Ruiting Wu,CHN,17.18,,1,Kawasaki (Todoroki Stadium),May 21
14,Nazim Babayev,AZE,17.18,,1,Bydgoszcz,Jul 16
16,Artem Primak,RUS,17.17,,1,Zhukovskiy (Meteor),Jul 29
17,Alexis Copello,AZE,17.16,,5,London (Olympic Stadium),Aug 10
18,Simo Lipsanen,FIN,17.14,,2,Bydgoszcz,Jul 16
19,Jean-Marc Pontvianne,FRA,17.13,,1,Montgeron,May 14
19,Max Hess,GER,17.13,,f,Erfurt,Jul 08
21,Matthew O'Neal,USA,17.12,,1c2,"Tampa (USF), FL",Mar 18
22,Omar Craddock,USA,17.08,,2,Doha (Hamad Bin Suhaim),May 05
23,Lázaro Martínez,CUB,17.07,,1,La Habana,Feb 11
24,Momchil Karailiev,BUL,17.05,,1,Sofia (NSA),Jun 17
25,Yordanys Duranona,DMA,17.02,,1,Monterrey (CARE),Jun 18
