rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Leonid Shcherbakov,URS,16.23,,1,Moscow,Jul 19
2,Adhemar Ferreira da Silva,BRA,15.92,,1,Dortmund,Aug 13
3,Noriaki Sagawa,JPN,15.35,,1,Takamatsu,Oct 24
4,Elles West,RSA,15.34,,1,Salisbury,Apr 6
5,Brian Oliver,AUS,15.29,,1,Perth,Jan 26
6,Yoshio Iimuro,JPN,15.21,,2,Tokyo,Nov 3
7,Kevin Salt,AUS,15.19,,2,Perth,Jan 10
7,Tadashi Yamamoto,JPN,15.19,,2,Suzuka,May 24
9,Roger Norman,SWE,15.15,,1,Budapest,Sep 12
10,Sten Eriksson,SWE,15.14,,1,Härnösand,Sep 4
11,Martin Rehak,TCH,15.13,,1,Brno,Sep 20
12,Tapio Lehto,FIN,15.07,,1,Helsinki,Sep 06
12,Valentin Dementyev,URS,15.07,,1,Nalchik,Oct
14,Akira Nishimura,JPN,15.00,,,Saarbrücken,Sep 02
15,Antal Puskas,HUN,14.99,,3,Budapest,Sep 12
16,Zygmunt Weinberg,POL,14.97,,1,Warsaw,Sep 05
16,Arsentiy Tyerkel,URS,14.97,,,,
18,Malic M'Baye,FRA,14.96,,1,Colombes,Jul 18
19,Renato do Nascimento,BRA,14.95,,2,Santiago,Apr 23
20,Boris Zambrimborts,URS,14.94,,,,
21,Jerzy Gizelewski,POL,14.92,,2,Warsaw,Sep 05
21,Kazuo Tamae,JPN,14.92,,,Takamatsu,Oct 24
23,Nikola Dagorov,BUL,14.91,,,Sofia,Apr 26
23,Arnis Bute,URS,14.91,,2,Moscow,Aug 26
25,Georg Frister,GDR,14.90,,3,Bucharest,Aug 05
25,Masayuki Oguchi,JPN,14.90,,4,Tokyo,Oct 11
