rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Luis Brunetto,ARG,15.10,,1,Montevideo,Apr 18
2,Levi Casey,USA,15.04,,1,Philadelphia,Jul 5
3,Vilho Tuulos,FIN,14.69,,1,Turku,Aug 29
4,Mikio Oda,JPN,14.65,,1,Tokyo,Apr 18
5,Eric Svensson,SWE,14.63,,1,Huskvarna,Aug 29
6,Erkki Järvinen,FIN,14.59,,1,Tampere,Aug 15
7,Väinö Rainio,FIN,14.57,,1,Helsinki,Aug 22
7,Gunnar Hagen,NOR,14.57,,1,Oslo,Aug 22
9,Anthony Winter,AUS,14.56,,1,Sydney,Jan 30
10,Willem Peters,NED,14.50,,1,Groningen,Jul 24
11,William Wallace,USA,14.49,,1,Des Moines,Apr 24
12,Earl Wilson,USA,14.46,,2,Philadelphia,Jul 05
13,Gustaf Nilsson,SWE,14.36,,1,Stockholm,Aug 22
14,Folke Janson,SWE,14.35,,1,Ålborg,Jun 29
15,Akilles Järvinen,FIN,14.34,,1,Oulu,Jul 11
16,Robert Kelley,USA,14.33,,1,San Francisco,May 08
16,Homer Martin,USA,14.33,,1,Chicago,Jun 26
18,Kurt Lindhoff,SWE,14.32,,1,Strängnäs,Aug 08
19,Elemer Somfay,HUN,14.30,,1,Koice,Aug 22
20,Yrjö Kivelä,FIN,14.29,,1,Kokkola,Jun 06
21,Chuhei Nambu,JPN,14.28,,2,Tokyo,Apr 11
22,Jack Higginson,GBR,14.25,,1,Wath-on-Dearne,Jun 19
23,Atilio Visentini,ARG,14.22,,2,Montevideo,Apr 18
24,Lloyd Bourgeois,USA,14.21,,2,Philadelphia,Jul 03
25,Josef Svensson,SWE,14.20,,1,Borås,Jul 11
