rank,name,nat,perf_0,perf_1,perf_2,city,date
1,John A. Kelley,USA,2.30.40,sh,1,Boston,Apr 19
2,Lloyd Bairstow,USA,2.32.50,sh,2,Boston,Apr 19
3,Donald Heinicke,USA,2.36.28,sh,3,Boston,Apr 19
4,Sven Håkansson,SWE,2.36.38,,1,Göteborg,Oct 28
5,Charles Robbins,USA,2.37.14,,1,Yonkers,Nov 11
6,Robert Rankine,CAN,2.38.03,sh,4,Boston,Apr 19
7,Lloyd Evans,CAN,2.39.43,sh,5,Boston,Apr 19
8,Louis Young,USA,2.40.23,sh,7,Boston,Apr 19
9,Anthony Medeiros,USA,2.41.04,sh,8,Boston,Apr 19
10,Onni Kuivalainen,FIN,2.41.21,,1,Helsinki,Aug 26
11,Enver Bedredin,FIN,2.43.07,,2,Helsinki,Aug 26
12,Mikko Hietanen,FIN,2.43.21,,1,Turku,Aug 12
13,Paavo Laine,FIN,2.45.22,,2,Turku,Aug 12
14,Brendan Doyle,AUS,2.45.55,,1,Botany,Sep 01
15,Shoore Johnson,SWE,2.46.03,,2,Göteborg,Oct 28
16,Gérard Coté,CAN,2.46.10,,1,Wolverhampton,Aug 06
17,Sevki Koru,TUR,2.46.38,,1,Istanbul,Sep 30
18,Kaspar Schiesser,SUI,2.46.50,,1,St. Gallen,Sep 09
19,Aku Haapalainen,FIN,2.47.05,,3,Turku,Aug 12
20,John Frey,SUI,2.47.11,,2,St. Gallen,Sep 09
20,Abner Morton,CAN,2.47.11,,5,Yonkers,Nov 11
22,Antonin Spiroch,TCH,2.47.21,,1,Kosice,Oct 28
23,John Semple,USA,2.47.36,sh,9,Boston,Apr 19
24,Valentin Panferov,URS,2.47.51,,1,Grozny,Oct 21
25,Ettore Padovani,ITA,2.48.16,,1,Rome,Oct 28
