rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Ellison Brown,USA,2.28.51,sh,1,Boston,Apr 19
2,Donald Heinicke,USA,2.31.24,sh,2,Boston,Apr 19
3,Toyo Go,JPN,2.31.26,,1,Tokyo,Nov 3
4,Shinzo Koga,JPN,2.31.34,,1,Kokura,May 04
5,Walter Young,CAN,2.32.41,sh,3,Boston,Apr 19
6,Pat Dengis,USA,2.32.54,,1,Salisbury,May 30
7,Savino Resta,ITA,2.33.25,,1,Milan,Jun 25
8,Manuel Dias,POR,2.33.36,,1,Lisboa,May 7
9,Leslie Pawson,USA,2.33.57,sh,5,Boston,Apr 19
10,Shigekazu Kabasawa,JPN,2.34.20,,2,Tokyo,Nov 3
11,Paul Donato,USA,2.34.25,sh,6,Boston,Apr 19
12,Aurelio Asoletti,ITA,2.35.04,,2,Milan,Jun 25
13,Jack Gibson,RSA,2.35.07,,1,Krugersdorp,Apr 08
14,Francesco Roccati,ITA,2.35.24,,1,Milan,Oct 15
15,Gérard Coté,CAN,2.35.33,,2,Yonkers,Nov 12
16,Donald McNab Robertson,GBR,2.35.37,,1,London,Jul 08
17,George Birchall,GBR,2.35.45,,1,Warrington,Aug 07
18,Shoryu Nan,JPN,2.36.05,,3,Tokyo,Nov 03
19,Robert Rankine,CAN,2.36.11,,1,Toronto,May 24
20,João Miguel,POR,2.36.40,,2,Lisboa,May 07
21,Tauno Mustonen,FIN,2.36.51,,1,Helsinki,Oct 01
22,Kaoru Yokota,JPN,2.36.55,,2,Kokura,Apr 05
23,Henry Palmé,SWE,2.36.56,,1,London,Jun 17
24,Giovanni Furlan,ITA,2.37.04,,3,Milano,Jun 25
25,John A. Kelley,USA,2.37.07,,2,Salisbury,May 30
