rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Haile Gebrselassie,ETH,2.03.59,,1,Berlin,Sep 28
2,Martin Lel,KEN,2.05.15,,1,London,Apr 13
3,Samuel Wanjiru,KEN,2.05.24,,2,London,Apr 13
4,Abderrahim Goumri,MAR,2.05.30,,3,London,Apr 13
5,James Kipsang Kwambai,KEN,2.05.36,,2,Berlin,Sep 28
6,William Kipsang,KEN,2.05.49,,1,Rotterdam,Apr 13
7,Tsegay Kebede,ETH,2.06.10,,1,Fukuoka,Dec 08
8,Emmanuel Mutai,KEN,2.06.15,,4,London,Apr 13
9,Ryan Hall,USA,2.06.17,,5,London,Apr 13
10,Evans Kiprop Cheruiyot,KEN,2.06.25,,1r1,Chicago,Oct 12
11,Deriba Merga,ETH,2.06.38,,6,London,Apr 13
12,Moses Kimeli Arusei,KEN,2.06.50,,2,Paris,Apr 06
13,Daniel Rono,KEN,2.06.58,,2,Rotterdam,Apr 13
14,Isaac Wanjohi Macharia,KEN,2.07.16,,2,Dubai,Jan 18
14,Jaouad Gharib,MAR,2.07.16,,2,Beijing,Aug 24
16,Robert Kiprono Cheruiyot,KEN,2.07.21,,1,Frankfurt,Oct 26
17,Viktor Röthlin,SUI,2.07.23,,1,Tokyo,Feb 17
17,David Mandago Kipkorir,KEN,2.07.23,,1,Hamburg,Apr 27
19,Hosea Kiprop Rotich,KEN,2.07.24,,3,Paris,Apr 06
20,Sammy Korir,KEN,2.07.32,,1,Seoul,Mar 16
21,Charles Kamathi,KEN,2.07.33,,3,Rotterdam,Apr 13
22,Gudisa Shentema,ETH,2.07.34,,4,Paris,Apr 06
23,Jason Mbote,KEN,2.07.37,,2,Seoul,Mar 16
24,Abel Kirui,KEN,2.07.38,,1,Wien,Apr 27
25,Edwin Komen,KEN,2.07.45,,3,Seoul,Mar 16
