rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Rainer Pottel,GDR,8311,,1,Birmingham,Aug 30
2,Yuriy Kutsenko,URS,8302,,1,Kiev,Jun 28
3,Tito Steiner,ARG,8279,,1,Baton Rouge,Jun 3
4,Dariusz Ludwig,POL,8222,,1,Brussels,Jul 12
5,Valter Kulvet,URS,8221,,1,Viimsi,Aug 23
6,Atanas Andonov,BUL,8220,,1,Sofia,Aug 2
7,Uwe Freimuth,GDR,8213,,2,Kiev,Jun 28
8,Andreas Rizzi,FRG,8207,,1,Lage,Aug 9
9,Sepp Zeilbauer,AUT,8191,,1,Götzis,May 24
9,Siegfried Wentz,FRG,8191,,1,Lage,Aug 9
11,Mark Anderson,USA,8171,,2,Baton Rouge,Jun 03
12,Aleksandr Nevskiy,URS,8170,,1,Leningrad,Aug 02
13,Jürgen Hingsen,FRG,8168,,2,Lage,Aug 09
14,Aleksandr Pismennyi,URS,8157,m,1,Kharkov,Aug 15
15,Siegfried Stark,GDR,8132,,2,Zug,Jul 12
16,Grigoriy Degtyaryov,URS,8124,,3,Kiev,Jun 28
17,Stephen Niklaus,SUI,8118,,3,Zug,Jul 12
18,Jörg-Peter Schäperkötter,GDR,8109,,5,Kiev,Jun 28
19,Guido Kratschmer,FRG,8095,,5,Birmingham,Aug 30
20,Steffen Grummt,GDR,8078,,6,Kiev,Jun 28
21,Viktor Gruzenkin,URS,8077,,2,Leningrad,Aug 02
22,Aleksandr Shablenko,URS,8070,,7,Kiev,Jun 28
23,Konstantin Akhapkin,URS,8057,,3,Leningrad,Aug 02
24,Torsten Voss,GDR,8044,,8,Kiev,Jun 28
25,Aleksandr Grebenyuk,URS,8017,,1,Donyetsk,May 24
