rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Vladimir Volkov,URS,7159,,1,Kharkov,Sep 4
2,Heino Lipp,URS,7097,,1,Tallinn,Sep 28
3,Erik-Peter Andersson,SWE,7045,,1,Stockholm,Sep 7
4,Enrique Kistenmacher,ARG,7011,,1,Rio de Janeiro,May 4
5,Alfred Lawrence,USA,6974,,1,Alhambra,Jul 11
6,Sergey Kuznetsov,URS,6806,,2,Kharkov,Sep 4
7,Per-Axel Eriksson,SWE,6730,,2,Stockholm,Sep 7
8,Irving Mondschein,USA,6716,,1,Bloomfield,Jul 13
9,Lloyd Duff,USA,6704,,2,Bloomfield,Jul 13
10,Allan Svensson,SWE,6700,,2,Karlstad,Jul 27
11,Jerry Shipkey,USA,6590,,2,Alhambra,Jul 11
12,Floyd Simmons,USA,6580,,3,Bloomfield,Jul 13
13,Carl-Eddie Lund,SWE,6536,,3,Karlstad,Jul 27
14,Davorin Marcelja,YUG,6495,,1,Bucharest,Sep 08
15,Eduardo Julve,PER,6460,,2,Rio de Janeiro,May 04
16,Edward Adamczyk,POL,6444,,1,Bydgoszcz,Sep 14
17,Kaj Nummelin,FIN,6437,,4,Stockholm,Sep 07
18,Miloslav Moravec,TCH,6428,,1,Prague,Sep 21
19,Armin Scheurer,SUI,6418,,1,Bern,Jul 20
20,Sven Österberg,SWE,6366,,1,Fagersta,Jul 13
21,Ignace Heinrich,FRA,6365,,1,Paris,Sep 28
22,Pyotr Denisenko,URS,6339,,3,Kharkov,Sep 04
23,Lorenzo Vecchiutti,ITA,6335,,1,Udine,Oct 12
24,Jack McEwen,USA,6333,,1,"Lawrence, KS",Apr 19
25,Raimundo Dias Rodrigues,BRA,6328,,3,Rio de Janeiro,May 04
