rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Bill Toomey,USA,8222,A,1,South Lake Tahoe,Sep 7
2,Hans-Joachim Walde,FRG,8111,A,2,Mexico City,Oct 19
3,Kurt Bendlin,FRG,8086,,1,Kassel,Jul 21
4,Rein Aun,URS,8026,A,1,Leninakan,Aug 18
5,Janis Lanka,URS,7972,A,2,Leninakan,Aug 18
6,Herbert Wessel,GDR,7953,,1,Erfurt,Aug 9
7,Nikolay Avilov,URS,7909,A,4,Mexico City,Oct 19
8,Manfred Tiedke,GDR,7904,,1,Plauen,Jun 9
9,Max Klauss,GDR,7889,,1,Kiev,Jul 1
10,Yuriy Dyachkov,URS,7879,,1,Tbilisi,Jun 16
11,Joachim Kirst,GDR,7861,,1,Halle,May 19
12,Priit Paalo,URS,7814,A,4,Leninakan,Aug 18
13,Werner von Moltke,FRG,7812,,1,Hamburg,Aug 11
14,Rick Sloan,USA,7800,A,2,South Lake Tahoe,Sep 07
15,Tom Waddell,USA,7720,A,6,Mexico City,Oct 19
16,Sergey Shchelkov,URS,7705,,1,Tartu,May 23
17,Siegfried Pradel,GDR,7704,,2,Schielleiten,May 26
18,Rudolf Langer,GDR,7674,,1,Potsdam,Sep 15
19,Jeff Bannister,USA,7650,A,4,South Lake Tahoe,Sep 07
20,Steen Smidt-Jensen,DEN,7648,A,8,Mexico City,Oct 19
21,Rüdiger Demmig,GDR,7647,,2,Erfurt,Aug 09
22,Lennart Hedmark,SWE,7625,,1,Reykjavik,Jul 06
23,Urs Trautmann,SUI,7622,,1,Zürich,Jun 23
24,Horst Beyer,FRG,7615,,2,Hamburg,Aug 11
25,Curt Sokol,ROU,7614,,1,Cluj,Jun 23
