rank,name,nat,perf_0,perf_1,perf_2,city,date
1,John Flanagan,USA,52.71,,1,New York,Jul 31
2,Alfred Plaw,USA,51.94,,1,Berkeley,Apr 23
3,Thomas Nicolson,GBR,51.71,,1,Glasgow,Aug 06
4,John DeWitt,USA,50.72,,1,Princeton,May 14
5,Patrick James Ryan,IRL,48.41,,1,Elton,Sep 11
6,Ralph Rose,USA,48.24,,1,Ann Arbor,May 14
7,Thomas Shevlin,USA,48.22,,2,Philadelphia,May 27
8,Homer L. Thomas,USA,47.88,,1,Chicago,Jun 04
9,Carl Van Duyne,USA,47.11,,3,Philadelphia,May 27
10,Lawrence A. Kiely,IRL,46.53,,1,Killarney,Oct 02
11,Richard J. Sheridan,USA,46.36,,2hcp,New York,Sep 10
12,Edgar Thomas Glass,USA,45.65,,4,Philadelphia,May 27
13,P. Byrne,AUS,44.50,,1,Kalgoorlie,Nov
14,Dennis Horgan,IRL,44.04,,,,Aug 15
15,G.M. Harris,USA,43.80,,3,Cambridge/MA,May 21
16,James S. Mitchell,USA,43.76,,2,New York,Aug 20
17,W.E. Crawford,USA,43.74,,1,Stanford/Palo Alto,Nov 19
18,Edwin E. Parry,USA,43.41,,1,Champaign,May 07
19,William Sperry,USA,43.13,,1,Berkeley,Mar 30
20,Charles Chadwick,USA,42.78,,4,St.Louis,Aug 29
21,John F. Tobin,USA,42.70,,2,St.Louis,Jun 25
22,A.C. Denning,USA,42.27,,1,Worcester/MA,May 21
23,E. Desmarteau,CAN,42.06,,1,Ottawa,Aug 03
24,L. Miller,USA,41.94,,1,Chicago,Jun 04
25,Robert W. Edgren,USA,41.63,,2hcp,New York,Sep 05
