rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Primo Kozmus,SLO,82.58,,1,Celje,Sep 02
2,Krisztián Pars,HUN,81.43,,1,Veszprém,Apr 25
3,Yury Shayunou,BLR,80.72,,1,Minsk,Jun 06
4,Igors Sokolovs,LAT,80.14,,1,Riga,May 30
5,Aleksey Zagorniy,RUS,80.10,,1,Adler,Feb 20
6,Nicola Vizzoni,ITA,79.74,,1,Campi Bisenzio,May 17
6,Ali Mohamed Al-Zinkawi,KUW,79.74,,2,Celje,Sep 02
8,Artem Rubanko,UKR,79.69,,1,Yalta,Jul 22
9,Marco Lingua,ITA,79.66,,2c1,Puerto de la Cruz,Mar 15
10,Pavel Kryvitski,BLR,79.48,,2,Minsk,Jun 06
11,Markus Esser,GER,79.43,,1,Leichlingen,Jul 26
12,Szymon Ziólkowski,POL,79.30,,2,Berlin,Aug 17
13,Dilshod Nazarov,TJK,79.28,,1,Uberlandia,May 20
14,Luká Melich,CZE,78.91,,1,Castres,Aug 05
15,Libor Charfreitag,SVK,78.81,,2,Castres,Aug 05
16,Olli-Pekka Karjalainen,FIN,78.70,,1,Göteborg,Aug 29
17,Koji Murofushi,JPN,78.36,,1,"Portland, OR",Sep 06
18,Igor Vinichenko,RUS,78.19,,1,Tula,Aug 01
19,Sergej Litvinov,GER,77.88,,5,Sofia,Jun 09
20,András Haklits,CRO,77.65,,6,Zagreb,Aug 31
21,Dzmitry Shako,BLR,77.35,,2,Minsk,Jul 25
22,Esref Apak,TUR,77.11,,1,Izmir,Jun 06
23,Thomas J. Freeman,USA,76.86,,1,"Princeton, NJ",Apr 18
24,Frédérick Pouzy,FRA,76.81,,1,Amneville,May 13
25,Aliaksandr Kazulka,BLR,76.80,,1,"Brest, BLR",May 23
