rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Patrick James Ryan,USA,56.74,,1,New York,Oct 3
2,Matthew McGrath,USA,55.65,,1,Yonkers,Aug 29
3,Harold Bailey,USA,50.195,,1,Cambridge,May 23
4,Arthur Kohler,USA,50.135,,1,Dayton,Jul 4
5,Leander Talbott,USA,49.91,,1,Kansas City,Jun 27
6,Carl-Johan Lind,SWE,49.76,,1,London,Jul 4
7,Thomas Nicolson,GBR,49.59,,2,London,Jul 4
8,Karl Shattuck,USA,48.15,,1,Berkeley,Apr 3
9,Patrick McDonald,USA,47.445,,2,Yonkers,Aug 29
10,Denis Carey,IRL,47.24,,1,Dublin,Jun 1
11,Harry H. Coolidge,USA,47.05,,2,Cambridge,May 30
12,Daniel Mahoney,USA,47.02,,1,"Berkeley, CA",Sep 19
13,Philip Loughridge,USA,46.96,,Q,"Cambridge, MA",May 30
14,D.P. Murphy,USA,46.48,,4,"Cambridge, MA",May 30
15,Johan Pettersson,FIN,46.30,,1,Malmö,Jul 9
16,Kenneth McCutcheon,USA,46.29,,5,"Cambridge, MA",May 30
17,Simon Gillis,USA,46.13,,4,"Long Island, NY",Oct  3
18,Elmer Niklander,FIN,45.95,,1,Kotka,Jun 07
19,Arvid Åberg,SWE,45.69,,1,Norrköping,May 31
20,Emil Johansson,SWE,45.28,,1,Stockholm,Oct 11
21,Patrick F. Ryan,IRL,45.26,,2,Dublin,Jun 01
22,Nils Linde,SWE,44.95,,1,Örebro,Oct 4
23,Jack McHolm,NZL,44.94,,1,Auckland,Jan 10
24,J.A. Commagare,USA,44.77,,1,"Covington, LA",Jun 13
25,Carl Jahnzon,SWE,44.16,,4,Stockholm,Oct 11
