rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Yanfeng Li,CHN,66.40,,1,Jinan,Oct 22
2,Stephanie Brown-Trafton,USA,66.21,,1,"San Mateo, CA",May 24
3,Yarelis Barrios,CUB,65.86,,1,Thessaloniki,Sep 13
4,Dani Samuels,AUS,65.44,,1,Berlin,Aug 21
4,Aimin Song,CHN,65.44,,2,Jinan,Oct 22
6,Natalya Sadova,RUS,65.40,,1,Cheboksary,Jul 24
7,Nicoleta Grasu,ROU,65.20,,3,Berlin,Aug 21
8,Yarisley Collado,CUB,64.10,,1,Fortaleza,May 10
9,Zaneta Glanc,POL,63.96,,1,Kraków,Jun 26
10,Yania Ferrales,CUB,63.89,,1,La Habana,Jun 18
11,Xuejun Ma,CHN,63.63,,2,Guangzhou,Nov 13
12,Nadine Müller,GER,63.46,,1,Wiesbaden,May 16
13,Wioletta Potepa,POL,63.24,,1,Dessau,Jun 02
14,Natalya Fokina-Semenova,UKR,63.11,,1,Yalta,Jun 03
15,Mélina Robert-Michon,FRA,63.04,,1,Paris,Sep 09
16,Vera Pospíilová-Cechlová,CZE,62.91,,1,Usti nad Labem,Jul 29
17,Sandra Perkovic,CRO,62.79,,1,Split,Sep 04
18,Iryna Yatchenko,BLR,62.66,,1,Minsk,May 29
19,Aretha Thurmond,USA,62.51,,2c2,"Eugene, OR",Jun 25
20,Franka Dietzsch,GER,62.50,,1,Schönebeck,Jun 17
21,Svetlana Ivanova-Saykina,RUS,62.10,,1,Moskva,Jun 28
22,Becky Breisch,USA,62.08,,3c2,"Eugene, OR",Jun 25
23,Dragana Tomaevic,SRB,61.89,,1,Senta,May 09
24,Suzanne Powell-Roos,USA,61.87,,2,"San Mateo, CA",May 24
25,Joanna Wisniewska,POL,61.78,,1,Lignano Sabbiadoro,Jul 12
