rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Franka Dietzsch,GER,68.51,,1,Schönebeck,Jun 16
2,Natalya Sadova,RUS,66.85,,1,Dessau,May 26
3,Wioletta Potepa,POL,66.01,,1c1,Halle,May 20
4,Yania Ferrales,CUB,66.00,,1,La Habana,Feb 10
5,Darya Pishchalnikova,RUS,65.55,,1,Göteborg,Aug 10
6,Vera Pospisilova-Cechlová,CZE,65.44,,1,Salon-de-Provence,May 25
7,Nicoleta Grasu,ROU,65.21,,2,Salon-de-Provence,May 25
8,Xuejun Ma,CHN,65.00,,1,Shijiazhuang,Aug 06
9,Aretha Thurmond,USA,64.41,,1,"Modesto, CA",May 06
10,Liudmila Starovoytova-Kupriyanava,BLR,64.20,,1,Minsk,Jul 22
11,Anna Söderberg,SWE,64.00,,1,Helsingborg,Jul 19
12,Dragana Tomasevic,SRB,63.63,,1q2,Göteborg,Aug 08
13,Aimin Song,CHN,63.52,,1,Doha,Dec 11
14,Beatrice Faumuina,NZL,63.30,,1,Wellington,Jan 13
15,Ellina Zvereva,BLR,63.20,,1,"Brest, BLR",May 27
16,Suzy Powell,USA,63.14,,1,Salinas,Jun 24
17,Taifeng Sun,CHN,62.98,,1,New Delhi,Sep 30
18,Oksana Yesipchuk,RUS,62.84,,3,Tula,Jun 13
19,Olena Antonova,UKR,62.83,,1c1,Kyiv,Jun 04
20,Kateryna Karsak,UKR,62.75,,1,Kyiv,Jul 22
21,Becky Breisch,USA,62.55,,1,"Lincoln, NE",Apr 15
22,Joanna Wisniewska,POL,62.34,,2,Gdansk,Jul 15
23,Xu Shaoyang,CHN,62.29,,1,Zhengzhou,May 27
24,Natalya Fokina-Semenova,UKR,62.14,,2,Kyiv,Jul 22
25,Olga Chernyavskaya,RUS,62.03,,1,Adler,Apr 22
