rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Stefka Kostadinova,BUL,2.07,,1,Sofia,Sep 03
2,Louise Ritter,USA,2.03,,1,Austin,Jul 08
3,Silvia Costa,CUB,2.02,,1,Nice,Jul 10
4,Olga Turchak,URS,2.00,,1,Portsmouth,Jun 19
4,Larisa Kositsyna,URS,2.00,,1,Chelyabinsk,Jul 16
4,Alina Astafei,ROU,2.00,,1,Sudbury,Jul 29
7,Tamara Bykova,URS,1.99,,3,Seoul,Sep 30
8,Coleen Sommer,USA,1.98,,1,Austin,May 07
8,Heike Redetzky,FRG,1.98,,1,Düsseldorf,Jun 20
8,Yelena Yelesina,URS,1.98,,1,Nyiregyhaza,Aug 13
8,Lyudmilla Avdeyenko,URS,1.98,,1,Vladivostok,Sep 13
12,Charmaine Gale,RSA,1.97,,1,Pretoria,Mar 30
12,Jan Wohlschlag,USA,1.97,,1,Tampa,Jun 17
14,Vanessa Browne,AUS,1.96,,1,Perth,Mar 27
14,Bijiana Petrovic,YUG,1.96,,1,Ankara,Jul 16
14,Trish King,USA,1.96,,2,Indianapolis,Jul 23
17,Lyudmilla Andonova,BUL,1.95,,1,Sofia,Jun 04
17,Maryse Ewanje-Epee,FRA,1.95,,1,Tours,Aug 14
19,Svetlana Ruban,URS,1.94,,1,Alma-Ata,May 17
19,Susanne Beyer,GDR,1.94,,1,Jena,Jun 04
19,Heike Balck,GDR,1.94,,2,Jena,Jun 04
19,Megumi Sato,JPN,1.94,,1,Tokyo,Jun 19
19,Yelena Rodina,URS,1.94,,1,Tallinn,Jul 07
19,Gabriele Günz,GDR,1.94,,1,Neubrandenburg,Jul 10
19,Galina Balgurina,URS,1.94,,1,Staiki,Aug 01
19,Yelena Panikarovskikh,URS,1.94,,2,Vilnius,Aug 27
19,Amra Temin,YUG,1.94,,1,Thessaloniki,Sep 16
1,Gabriele Günz,GDR,2.01,i,2,Stuttgart,Jan 31
2,Lyudmilla Avdeyenko,URS,2.00,i,1,Volgograd,Feb 11
