rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Paula Radcliffe,GBR,2.15.25,,1,London,Apr 13
2,Yingjie Sun,CHN,2.19.39,,1,Beijing,Oct 20
3,Catherine Ndereba,KEN,2.19.55,,2,London,Apr 13
4,Deena Drossin,USA,2.21.16,,3,London,Apr 13
5,Mizuki Noguchi,JPN,2.21.18,,1,Osaka,Jan 26
6,Masako Chiba,JPN,2.21.45,,2,Osaka,Jan 26
7,Naoko Sakamoto,JPN,2.21.51,,3,Osaka,Jan 26
8,Lornah Kiplagat,KEN,2.22.22,,4,Osaka,Jan 26
9,Margaret Okayo,KEN,2.22.31,,5,New York,Nov 02
10,Svetlana Zakharova,RUS,2.23.07,,1,Chicago,Oct 12
11,Susan Chepkemei,KEN,2.23.12,,4,London,Apr 13
12,Lyudmila Petrova,RUS,2.23.14,,5,London,Apr 13
13,Shujing Zhang,CHN,2.23.18,,1,Seoul,Mar 16
14,Mari Ozaki,JPN,2.23.30,,5,Osaka,Jan 26
15,Constantina Tomescu-Dita,ROU,2.23.35,,2,Chicago,Oct 12
16,Zhou Chunxiu,CHN,2.23.41,,2,Beijing,Oct 19
17,Jelena Prokopcuka,LAT,2.24.01,,7,London,Apr 13
18,Elfenesh Alemu,ETH,2.24.56,,8,London,Apr 13
19,Takami Ominami,JPN,2.25.03,,1,Nagoya,Mar 09
20,Olivera Jevtic,YUG,2.25.23,,1,Rotterdam,Apr 13
21,Ham Bong-Sil,PRK,2.25.31,,5,Paris,Aug 31
22,Mihaela Botezan,ROU,2.25.32,,9,London,Apr 13
23,Alina Ivanova,RUS,2.25.35,,4,Chicago,Oct 12
24,Worknesh Tola,ETH,2.25.42,,2,Söul,Mar 16
25,Helen Kimutai,KEN,2.25.52,,1,Hamburg,Apr 27
