rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Natalya Shikolenko,BLR,70.36,,1,Moscow,Jun 22
2,Karen Forkel,GER,69.58,,1,Halle,May 10
3,Trine Solberg-Hattestadt,NOR,69.50,,1,Oslo,May 15
4,Silke Renk,GER,68.34,,1,Barcelona,Aug 01
5,Terese Nekrosaite,LTU,67.64,,2,Duisburg,Jun 07
6,Petra Felke-Meier,GER,67.50,,1,Sao Paulo,May 17
7,Päivi Alafrantti,FIN,66.05,,1,Turin,Jun 14
8,Antoaneta Selenska,BUL,65.88,,1,Stara Zagora,May 09
9,Isel Lopez,CUB,65.62,,1,Mexico City,May 03
10,Lili Hou,CHN,65.02,,1,Beijing,Mar 14
11,Tessa Sanderson,GBR,64.88,,2,London,Jul 10
12,Xin Xiaoli,CHN,64.32,,1,Zhengzhou,Apr 21
13,Yekaterina Ivakina,RUS,64.10,,1,Sankt Petersburg,May 15
14,Anna Verouli,GRE,64.20,,1,Athens,Jun 07
15,Dulce Garcia,CUB,64.18,,4,Sevilla,Jun 06
16,Heli Rantanen,FIN,63.98,,QB,Barcelona,Jul 31
17,Xiaoyan Ha,CHN,63.94,,1,Nanjing,May 19
18,Kinga Zsigmond,HUN,63.90,,1,Sheffield,Jun 05
19,Irina Kostyuchenkova,UKR,63.88,,1,Schwechat,Jul 01
20,Renata Strasek,SLO,63.60,,1,Celje,Oct 11
21,Susanne Riewe,GER,63.46,,3,Jena,May 28
22,Sun Xiurong,CHN,63.42,,2,Nanjing,May 19
23,Genowefa Patla,POL,63.40,,1,Lubin,Jun 06
24,Lee Young-sun,KOR,63.32,,1,Sungnam,Apr 18
25,Song Luiling,CHN,63.18,,,Xinglong,Jul 30
25,Elisabet Nagy,SWE,63.18,,1,Västerås,Aug 25
