rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Trine Hattestad,NOR,69.48,,1,Oslo,Jul 28
2,Osleidys Menendez,CUB,67.83,,2,Berlin,Sep 1
3,Mirela Tzelili,GRE,67.51,,2,Sydney,Sep 30
4,Tatyana Shikolenko,RUS,67.20,,1,Monaco,Aug 18
5,Louise Currey,AUS,66.80,,1,Gold Coast,Aug 4
6,Tanja Damaske,GER,66.73,,1,Braunschweig,Jul 29
7,Sonia Bisset,CUB,65.87,,1,Doha,Oct 5
8,Steffi Nerius,GER,65.76,,Q,Sydney,Sep 29
9,Claudia Coslovich,ITA,65.30,,1,Ljubljana,Jun 10
10,Yekaterina Ivakina,RUS,64.89,,4,Oslo,Jul 28
11,Joanna Stone,AUS,64.62,,2,Runaway Bay,Aug 05
12,Nikola Tomecková,CZE,64.19,,3,Zürich,Aug 11
13,Taina Uppa,FIN,64.06,,1,Pihtipudas,Jul 23
14,Mikaela Ingberg,FIN,64.03,,6,Berlin,Sep 01
15,Laverne Eve,BAH,63.73,,1,Nashville,Apr 22
16,Li Lei,CHN,63.69,,1,Jinzhou,Jun 08
17,Khristina Georgieva,BUL,63.32,,3,Athens,Jun 28
18,Ana Mirela Termure,ROU,63.29,,1,Snagov,May 06
19,Wei Jianhua,CHN,63.13,,2,Jinzhou,Jun 08
20,Felicia Tilea,ROU,63.12,,1,Poiana Braov,Jul 24
21,Xiomara Rivero,CUB,62.92,,6,Sydney,Sep 30
22,Rita Ramanauskaité,LTU,62.69,,6,Paris,Jun 23
23,Karen Forkel,GER,62.35,,1,Regensburg,Jul 07
24,Nadine Auzeil-Schoelkopf,FRA,62.16,,1,Strasbourg,Jun 27
25,Oksana Velichko,BLR,62.06,,1,Stayki,Jun 27
