rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Sun Caiyun,CHN,4.05,,1,Nanjing,May 21
2,Cai Weiyan,CHN,4.00,,1,Wuhan,Oct 19
3,Nicole Rieger,GER,3.92,,1,Landau,Jul 22
4,Carmen Haage,GER,3.90,,1,Spaichingen,Aug 15
5,Daniela Köpernick,GER,3.80,,1,München,Jun 21
5,Shao Jingwen,CHN,3.80,,,Beijing,Aug 15
5,Rong Zhu,CHN,3.80,,1,Beijing,Aug 15
8,Tanja Cors,GER,3.72,,1,Holzminden,Sep 12
9,Chen Xiaoli,CHN,3.70,,3,Nanjing,May 21
9,Wang Fang,CHN,3.70,,4,Nanjing,May 21
9,Zhang Lirong,CHN,3.70,,5,Nanjing,May 21
9,Christine Adams,GER,3.70,,3,München,Jun 21
13,Galina Yenvarenko,RUS,3.60,,1,Sochi,Apr 24
13,Jian Min,CHN,3.60,,2,Nanjing,May 21
13,Yang Juan,CHN,3.60,,,Nanjing,May 21
13,Andrea Müller,GER,3.60,,1,Kandel,May 30
1,Tanja Cors,GER,3.83,i,1,Berlin,Feb 02
