rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Sally Gunnell,GBR,52.74,,1,Stuttgart,Aug 19
2,Sandra Farmer-Patrick,USA,52.79,,2,Stuttgart,Aug 19
3,Margarita Ponomaryova,RUS,53.48,,3,Stuttgart,Aug 19
4,Kim Batten,USA,53.84,,4,Stuttgart,Aug 19
5,Qing Han,CHN,53.96,,1,Beijing,Sep 09
6,Deon Hemmings,JAM,54.12,,2s3,Stuttgart,Aug 17
7,Tonja Buford,USA,54.38,,2s1,Stuttgart,Aug 17
8,Anna Knoroz,RUS,54.42,,2,Rome,Jun 26
9,Guo Yue,CHN,54.47,,2,Beijing,Sep 09
10,Xueyan Leng,CHN,54.52,,3,Beijing,Sep 09
11,Natalya Torshina,KAZ,54.53,,3s2,Stuttgart,Aug 17
11,Rosemary Edeh,CAN,54.53,,4s2,Stuttgart,Aug 17
13,Tatyana Ledovskaya,BLR,54.60,,3s3,Stuttgart,Aug 17
14,Heike Meissner,GER,54.64,,3s1,Stuttgart,Aug 17
15,Silvia Rieger,GER,54.90,,4s2,Stuttgart,Aug 17
16,Nicoleta Carutasu,ROU,54.94,,3,Rome,Jun 26
17,Olga Nazarova,RUS,55.08,,2,Moscow,Jun 19
18,Vera Ordina,RUS,55.33,,1,Sevilla,Jun 05
19,Jiang Limei,CHN,55.51,,4,Beijing,Sep 09
20,Monica Westen,SWE,55.53,,1,Malmö,Aug 09
21,Ann Maenhout,BEL,55.59,,2,Reims,Jun 30
22,Tatyana Kurochkina,BLR,55.64,,5s1,Stuttgart,Aug 17
23,Zheng Liyuan,CHN,55.72,,5,Beijing,Sep 09
24,Donalda Duprey,CAN,55.80,,2,Coquitlam,Jul 31
24,Debbie-Ann Parris,JAM,55.80,,6s1,Stuttgart,Aug 17
