rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Zuzana Hejnová,CZE,53.50,,1,Beijing,Aug 26
2,Shamier Little,USA,53.74,,1,"Eugene, OR",Jun 13
3,Sara Slott Petersen,DEN,53.99,,2,Paris Saint-Denis,Jul 04
4,Cassandra Tate,USA,54.01,,2,Eugene,Jun 28
5,Kendra Harrison,USA,54.09,,2,Eugene,Jun 13
6,Oluwakemi Adekoya,BRN,54.12,,3,Paris Saint-Denis,Jul 04
7,Kaliese Spencer,JAM,54.15,,1,Oslo,Jun 11
8,Georganne Moline,USA,54.24,,2,London,Jul 24
9,Tiffany Williams,USA,54.27,,1sf1,"Eugene, OR",Jun 27
10,Wenda Nel,RSA,54.37,,1,Beijing,May 20
11,Kori Carter,USA,54.41,,3,"Eugene, OR",Jun 28
12,Lashinda Demus,USA,54.44,,4,"Eugene, OR",Jun 28
13,Eilidh Doyle,GBR,54.46,,1f2,Cheboksary,Jun 20
14,Meghan Beesley,GBR,54.52,,3h3,Beijing,Aug 23
15,Janieve Russell,JAM,54.64,,5,Beijing,Aug 26
16,Anna Titimets,UKR,54.75,,2f2,Cheboksary,Jun 20
17,Denisa Rosolová,CZE,55.15,,5,Birmingham GBR,Jun 07
18,Anna Yaroshchuk-Ryzhykova,UKR,55.16,,4sf1,Beijing,Aug 24
19,Yadisleidis Pedroso,ITA,55.18,,3f2,Cheboksary,Jun 20
20,Sydney McLaughlin,USA,55.28,,1,"Lisle, IL",Jul 01
21,Shevon Stoddart,JAM,55.29,,2,Kingston JAM,Jun 26
22,Sparkle McKnight,TTO,55.41,,2,San José CRC,Aug 09
23,Ristananna Tracey,JAM,55.45,,3,Kingston,Jun 26
24,Aurèlie Chaboudez,FRA,55.51,,2,Marseille,Jun 06
24,Samantha Elliott,JAM,55.51,,4,Kingston JAM,Jun 26
