rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Marion Jones,USA,22.23,,1h1,Eugene,Jun 23
2,Kelli White,USA,22.38,,1,Brussels,Aug 24
3,LaTasha Jenkins,USA,22.39,,1h2,Eugene,Jun 23
3,Debbie Ferguson,BAH,22.39,,1s3,Edmonton,Aug 9
5,Cydonie Mothersill,CAY,22.54,A,1,Guatemala City,Jul 21
5,Myriam Mani,CMR,22.54,,1,Rieti,Sep 2
7,Beverly McDonald,JAM,22.57,,2,Brussels,Aug 24
8,Aleen Bailey,JAM,22.59,,1,Lawrence,Apr 21
9,Heide Seyerling,RSA,22.63,,1,Durban,Mar 3
9,LaTasha Richardson,USA,22.63,,2,Lawrence,Apr 21
9,Susanthika Jayasinghe,SRI,22.63,,1,Osaka,May 12
9,Lorraine Fenton,JAM,22.63,,1,Kassel,Jun 13
13,Mercy Nku,NGR,22.66,,2,Nice,Jul 09
14,Yuliya Tabakova,RUS,22.68,,1,Cheboksary,Jun 15
14,Natalya Safronnikova,BLR,22.68,,1,Bremen,Jun 24
14,Gabriele Rockmeier,GER,22.68,,1,Stuttgart,Jul 01
14,Juliet Campbell,JAM,22.68,,2s1,Edmonton,Aug 09
18,Yekaterina Leshchova,RUS,22.70,,1,Tula,Jul 14
19,Zhanna Pintusevich,UKR,22.74,,2,Réthymno,Jul 01
20,Xuemei Li,CHN,22.75,,1,Guangzhou,Nov 22
21,Alenka Bikar,SLO,22.76,,1,Ingolstadt,May 27
22,Ionela Tirlea-Manolache,ROU,22.77,,2,Rieti,Sep 02
23,Sina Schielke,GER,22.78,,1,Mannheim,Jun 16
24,Grit Breuer,GER,22.79,,2,Leverkusen,Aug 26
25,Mary Onyali-Omagbemi,NGR,22.80,,3s3,Edmonton,Aug 09
