rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Olga Kuzenkova,RUS,73.80,,1,Togliatti,May 15
2,Mihaela Melinte,ROU,73.14,,1,Poiana Braov,Jul 15
3,Lyudmila Gubkina,BLR,67.83,,2,Ruedlingen,Aug 23
4,Debbie Sosimenko,AUS,67.16,,1,Sydney,Aug 10
5,Amy Christiansen-Palmer,USA,67.08,,1,Austin,Apr 02
6,Kirsten Münchow,GER,66.82,,1,Wiesau,Apr 25
7,Simone Mathes,GER,66.17,,1,Dortmund,May 02
8,Tatyana Konstantinova,RUS,65.77,,2,Togliatti,May 15
9,Lisa Misipeka,AMS,65.00,,1,"Gainesville, FL",May 24
10,Alla Fyodorova-Davidova,RUS,64.61,,3,Togliatti,May 15
11,Susanne Keil,GER,64.50,,4,Rüdlingen,Aug 23
12,Svetlana Sudak,BLR,64.23,,3,Nitra,Aug 25
13,Manuela Priemer,GER,64.18,,1,Erfurt,May 21
14,Cecilie Lignot,FRA,64.15,,1,Clermont-Ferrand,Apr 25
15,Windy Dean,USA,64.12,,1,New Orleans,Jun 19
16,Katalin Divós,HUN,63.93,,1,Veszprém,Sep 10
17,Renetta Seiler,USA,63.80,,1,Columbia,May 15
18,Anna Norgren,USA,63.64,,1,Philadelphia,Apr 25
19,Dawn Ellerbe,USA,63.55,,2,Provo,Apr 11
20,Lorraine Shaw,GBR,63.30,,1,Bedford,Aug 29
21,Norbi Balantén,CUB,63.20,,1,La Habana,Aug 01
22,Iryna Sekachova,UKR,62.83,,1,Belaya Tserkov,Jun 26
23,Manuela Montebrun,FRA,62.79,,1,Dreux,Jul 11
24,Viktoria Polyanskaya,RUS,62.78,,4,Moscow,Aug 03
25,Kamila Skolimowska,POL,62.72,,Q,Budapest,Aug 21
