rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Betty Heidler,GER,79.42,,1c1,Halle,May 21
2,Tatyana Lysenko,RUS,77.13,,1,Daegu,Sep 04
3,Wenxiu Zhang,CHN,75.65,,2,Fränkisch-Crumbach,Jun 12
4,Yipsi Moreno,CUB,75.62,,1,"Guadalajara, MEX",Oct 24
5,Kathrin Klaas,GER,75.48,,2,Ostrava,May 30
6,Anita Wlodarczyk,POL,75.33,,2,Elstal,Sep 09
7,Jennifer Dahlgren,ARG,73.44,,4,Berlin,Sep 11
8,Zalina Marghieva,MDA,72.93,,1,Shenzhen,Aug 19
9,Alena Matoshka,BLR,72.86,,1,Minsk,Aug 11
10,Jessica Cosby,USA,72.65,,1c1,"Los Angeles,  CA",May 07
11,Amber Campbell,USA,72.59,,1,"Walnut, CA",Apr 16
12,Martina Hrasnová,SVK,72.47,,1c2,"Athens, GA",Apr 08
13,Nataliya Zolotukhina,UKR,72.22,,1,Uman,May 22
14,Bianca Perie,ROU,72.04,,6,Daegu,Sep 04
15,Silvia Salis,ITA,71.93,,1,Savona,May 18
15,Mariya Bespalova,RUS,71.93,,2,Zhukovskiy,Jul 06
17,Arasay Thondike,CUB,71.86,,1,La Habana,Jun 03
18,Marina Marghieva,MDA,71.58,,1,Chisinau,May 04
19,Stéphanie Falzon,FRA,71.53,,1,Forbach,May 29
20,Sultana Frizell,CAN,71.46,,1c2,Edmonton,Jul 23
21,Éva Orbán,HUN,71.33,,2,Shenzhen,Aug 19
22,Gulfiya Khanafeyeva,RUS,71.11,,3,Zhukovskiy,Jul 06
23,Heather Steacy,CAN,70.98,,1,Lethbridge,May 22
24,Alexándra Papayeoryíou,GRE,70.54,,1,Athína,Jul 29
25,Gwen Berry,USA,70.52,,1c2,"Des Moines, IA",Apr 30
