rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Marius Eynard,FRA,42.80,W-,1,Gentilly,Sep 04
2,Martin Sheridan,USA,40.70,,1,Montreal,Sep 24
3,Charles Rodman,USA,39.80,,,Indiana,Jun 19
4,Sandor Fothy,HUN,39.70,,1,Budapest,Jun 12
5,Artur Coray,HUN,39.68,,1,Pozsony,Jun 19
6,Verner Järvinen,FIN,39.65,,1,Petersburg,Sep 11
7,Ralph Rose,USA,39.28,,2,St.Louis,Sep 3
8,Einar Sahlstein,FIN,38.70,bh,-,Kuopio,
9,Gyula Strausz,HUN,38.04,,1,Budapest,Oct 16
10,J.G. Boggs,USA,37.82,,1,Cleveland,May 25
11,Wilhelm Dörr,GER,37.80,exh,-,Frankfurt/Main,Sep 18
12,Nicolaos Georgantas,GRE,37.68,,3,St.Louis,Sep 3
13,Emil Welz,GER,37.45,,ex,Berlin,Dec 11
14,Charles H. Swift,USA,37.26,,1,Saint Paul,May 14
15,Edwin E. Parry,USA,36.94,,1,Chicago,May 21
16,B. Devine,USA,36.81,,1,Chicago,Jun 04
17,Marcus Catlin,USA,35.74,,2,St.Louis,Jun 25
18,John C. Garrels,USA,36.20,,1,Ann Arbor,May 14
19,John Flanagan,USA,36.16,,2,Montreal,Sep 24
20,S.P. Smith,USA,35.66,,1,Saint Louis,Jul 29
21,John M. Eward,USA,35.42,,1,Champaign,May 14
22,Väinö Sigell,FIN,35.26,bh,-,Helsinki,May 23
23,Frederick A. Speik,USA,35.13,,2,Chicago,May 14
24,Eric Lemming,SWE,35.01,bh,-,Göteborg,Sep 25
25,Eeli Roos,FIN,35.00,bh,-,Ilmajoki,Jul 24
25,Johan Falchenberg,NOR,35.00,bh,-,Kristiania,Aug 27
