rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Rickard Bruch,SWE,68.40,,1,Stockholm,Jul 5
2,Ludvik Danek,TCH,66.64,,1,Prague,Aug 22
3,Tim Vollmer,USA,66.57,,1,Fairfield,Jun 20
4,Jon Cole,USA,65.91,,1,Tempe,Aug 3
5,John Van Reenen,RSA,65.79,,1,Long Beach,Apr 16
6,Jay Silvester,USA,65.58,,1,Lancaster,May 21
7,Geza Fejer,HUN,65.28,,1,Budapest,Jun 10
8,Detlef Thorith,GDR,64.82,,1,Berlin,Aug 23
9,Klaus-Peter Hennig,FRG,64.80,,1,Oldenburg,Jul 16
10,Ferenc Tegla,HUN,64.48,,2,Budapest,Jun 10
11,Hartmut Losch,GDR,64.36,,1,Potsdam,May 28
12,John Powell,USA,64.21,,1,San José,May 06
13,Vladimir Lyakhov,URS,64.14,,1,Fyeodosiya,Apr 24
14,Janos Muranyi,HUN,64.08,,1,Budapest,May 20
15,Art Swarts,USA,63.93,,1,Knoxville,Apr 15
16,Boris Karayev,URS,63.84,,D,Ordzhonikidze,Apr 24
17,Rickard Drescher,USA,63.81,,2,Knoxville,Apr 15
18,Dirk Wippermann,FRG,63.58,,1,Oberhausen,Aug 05
19,Pentti Kahma,FIN,63.48,,1,Ylivieska,Aug 09
20,Lothar Milde,GDR,63.44,,1,Rostock,May 29
21,Silvano Simeon,ITA,63.12,,1,Torino,Jun 08
22,Gary Carlsen,USA,62.79,,2Q1,Fairfield CA,Jun 20
23,Siegfried Pachale,GDR,62.78,,1,Cottbus,May 17
24,Veljo Kuusemäe,URS,62.72,,1,Augsburg,Jun 23
24,Jorma Rinne,FIN,62.72,,1,Nokia,Jul 17
