rank,name,nat,perf_0,perf_1,perf_2,city,date
1,John Powell,USA,69.98,,1,Modesto,May 16
2,Wolfgang Schmidt,GDR,69.60,,1,Dresden,Jun 13
3,Alfred Oerter,USA,68.76,,1,Scotch Plains,Jun 7
4,Art Swarts,USA,68.32,,2,Scotch Plains,Jun 7
5,Art Burns,USA,67.86,,1,Salinas,Apr 8
6,Knut Hjeltnes,NOR,67.64,,1,Salinas,Apr 4
7,Imrich Bugar,TCH,67.48,,1,Budapest,Aug 20
8,Luis Mariano Delis,CUB,67.28,,1,Nizza,Aug 23
9,Markku Tuokko,FIN,67.26,,1,Helsinki,Jul 5
10,Armin Lemme,GDR,66.70,,1,Jena,Aug 8
11,Ben Plucknett,USA,66.42,,1,Westwood CA,May 10
11,Yuriy Dumchev,URS,66.42,,1,Moscow,Aug 15
13,Iosif Nagy,ROU,66.30,,1,Bucharest,Jun 18
14,Anatoliy Lang,URS,66.28,,1,Gorkiy,Jun 09
15,Göran Svensson,SWE,66.22,,5,Modesto,May 16
16,Stan Cain,USA,66.16,,1,Knoxville,Apr 11
17,Brad Cooper,BAH,66.14,,3,Nice,Aug 23
18,Wolfgang Warnemünde,GDR,66.10,,1,Rostock,Jul 01
19,Velislav Prokhaska,BUL,66.04,,1,Nitra,Sep 06
20,Romas Ubartas,URS,65.62,,1,Fyeodosiya,Apr 23
21,Alwin Josef Wagner,FRG,65.58,,2,Wirdum,Jun 17
22,David Voorhees,USA,65.42,,3,Sacramento,Jun 20
22,Geiza Valent,TCH,65.42,,1,Rovereto,Sep 13
24,Kalev Külv,URS,65.34,,1,Leselidze,Apr 25
25,Ken Stadel,USA,65.04,,3,Long Beach,May 23
