rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Per-Arne Berglund,SWE,73.55,,1,Örebro,Sep 24
2,Toivo Hyytiäinen,FIN,72.71,,1,Stockholm,Sep 10
3,Sven Daleflod,SWE,72.68,,2,Stockholm,Sep 10
4,Tapio Rautavaara,FIN,72.57,,3,Stockholm,Sep 10
5,Ragnar Ericzon,SWE,71.35,,2,Örebro,Sep 24
6,Franklin Held,USA,70.77,,1,Fresno,Jun 25
7,Martin Biles,USA,70.10,,2,Fresno,Jun 25
8,Gunnar Petersson,SWE,69.92,,1,Växjö,Jul 15
9,Delfs Pickarts,USA,69.73,,1,Göteborg,Jul 31
10,Yuriy Shcherbakov,URS,69.40,,1,Tbilisi,Oct 28
11,Eino Leppanen,FIN,69.18,,1,Varkaus,May 26
12,Soini Nikkinen,FIN,68.90,,1,Suonenjoki,Jun 16
13,Stig Oldén,SWE,68.84,,1,Stockholm,Aug 21
14,Lumír Kiesewetter,TCH,68.58,,1,Brno,Oct 16
15,Viktor Iyevlyev,URS,68.57,,D,Budapest,Aug 21
16,Otto Bengtsson,SWE,68.39,,1,Knislinge,Oct 01
17,Georgiy Lukyanov,URS,68.35,,,,
18,Hans Moks,EST,68.34,,1,Stockholm,Sep 25
19,Ivan Kaptyukh,URS,67.96,,1,Kiev,May 02
20,Pauli Vesterinen,FIN,67.68,,2,Oulunkylä,Aug 24
21,Harry Vallmann,URS,67.38,,1,Moscow,Sep 03
22,George Roseme,USA,67.36,,3,Berkeley,Jun 04
23,Matti Järvinen,FIN,67.32,,1,Helsinki,Sep 08
24,Jänis Stendzenieks,LAT,67.19,,1,Lima,Oct 02
25,Yrjö Mäkelä,FIN,67.10,,1,København,Oct 02
