rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Seppo Räty,FIN,96.96,,1,Punkalaidun,Jun 2
2,Steve Backley,GBR,91.36,,1,Sheffield,Sep 15
3,Raymond Hecht,GER,90.84,,1,Gengenbach,Sep 8
4,Kimmo Kinnunen,FIN,90.82,,1,Tokyo,Aug 26
5,Jan Zelezny,CZE,90.72,,1,Lausanne,Jul 10
6,Tom Petranoff,RSA,89.16,,1,Potchefstroom,Mar 1
7,Vladimir Sasimovich,URS,87.08,,3,Tokyo,Aug 26
8,Juha Laukkanen,FIN,87.06,,1,Brussels,Sep 13
9,Peter Borglund,SWE,87.00,,1,Stockholm,Aug 13
10,Mike Hill,GBR,86.32,,1,Monaco,Aug 3
11,Patrik Boden,SWE,85.58,,1,Karlstad,Jun 09
12,Dag Wennlund,SWE,85.52,,1,Helsingborg,Jul 27
13,Einar Vilhjalmsson,ISL,85.30,,1,Mosfellsbær,Jul 28
14,Gavin Lovegrove,NZL,85.18,,3,London,Jul 12
15,Radoman cekic,YUG,85.08,,1,Zagreb,Jun 12
16,Sigurdur Einarsson,ISL,84.94,,2,Shizuoka,May 06
17,Klaus Tafelmeier,GER,84.56,,2,Gengenbach,Sep 08
18,Yuriy Rybin,URS,84.54,,1,Adler,Feb 24
18,Terry McHugh,IRL,84.54,,1,Limerick,Jun 14
20,Andreas Linden,GER,84.46,,1,Gersthofen,Jun 09
21,Michael Barnett,USA,84.20,,1,Santa Barbara,Jul 11
22,Dmitriy Polyunin,UZB,84.18,,3,Edinburgh,Jul 19
23,Viktor Zaytsev,URS,84.02,,2,Adler,Feb 24
24,Andrey Maznichenko,URS,83.92,,3,Adler,Feb 24
25,Dave Stephens,USA,83.88,,1,Knoxville,May 03
