rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Terje Pedersen,NOR,91.72,,1,Oslo,Sep 2
2,Janusz Sidlo,POL,85.09,,1,Rome,Sep 27
3,Wladyslaw Nikiciuk,POL,84.89,,1,Warsaw,Aug 20
4,Jorma Kinnunen,FIN,84.63,,1,Jyväskylä,Sep 3
5,Willy Rasmussen,NOR,83.85,,2,Oslo,Sep 1
6,Pauli Nevala,FIN,82.66,,1,Tokyo,Oct 14
7,Vladimir Kuznetsov,URS,82.64,,1,Moscow,Sep 27
8,Janis Lusis,URS,82.59,,1,Los Angeles,Jul 26
9,Gergely Kulcsár,HUN,82.32,,2,Tokyo,Oct 14
10,Herman Salomon,FRG,81.90,,1,Leverkusen,Jul 4
11,Viktor Aksenov,URS,81.61,,1,Volgograd,Aug 06
12,Bill Floerke,USA,81.18,,1,Kansas City,Aug 16
13,John Burns,USA,81.07,,1,Portland,Jun 24
14,Viktor Ovchinnik,URS,80.72,,1,Tula,Sep 06
15,Eugen Stumpp,FRG,80.65,,1,Köln,Jul 08
16,Lennart Hedmark,SWE,80.38,,1,Orrnskoldsvik,Jun 21
17,Michel Macquet,FRA,80.25,,1,Mantes,Mar 07
18,Lesley Tipton,USA,80.20,,1,Eugene,Apr 11
19,Frank Covelli,USA,80.01,,3,Los Angeles,Jul 26
20,Ed Red,USA,79.99,,1,Long Beach,Sep 05
21,Urs von Wartburg,SUI,79.92,,Q,Tokyo,Oct 14
22,Rolf Herings,FRG,79.47,,2,Ludwigshafen,Sep 26
23,Philip Conley,USA,79.31,,2,Fresno,May 09
24,Arne Os,NOR,79.23,,1,Rome,Sep 19
25,Horst Bade,GDR,79.21,,1,Potsdam,Jun 10
