rank,name,nat,perf_0,perf_1,perf_2,city,date
1,George Smith,NZL,58.2,*,1,Melbourne,Feb 01
1,Georges Filiartre,FRA,58.2,,1,Paris,Jun 26
3,Leslie M. McPherson,AUS,58.5,*e,2,Melbourne,Feb 01
4,Charles Brissy,FRA,60.6,e,2,Paris,Jun 26
5,E. Steiner,FRA,61.4,,1,St.-Cloud.,Jun 19
6,Bouchut,FRA,62.0,,1,Treyes,May 01
7,W.J. O'Kane,NZL,62.3,*,1,Dunedin,Apr 04
8,Fourcade,FRA,62.4,,1,Bordeaux,Jun 12
9,Laffitte,FRA,63.0,e,2,Bordeaux,Jun 12
10,Jimmy Carre,FRA,63.4,,1,,
11,Bonhomme,FRA,64.0,,1,Cusset,Jul 3
12,Eugene Choisel,FRA,64.2,,,Paris,Jul 13
13,Lagniel,FRA,65.2,,,Treyes,May 01
14,E.D. Rice,NZL,65.3,*u,2,Dunedin,Apr 04
15,A.R. Gatland,NZL,66.2,*u,3,Dunedin,Apr 04
15,John B. Densham,GBR,66.2,*,1,London,Jun
17,A.W. Bishop,NZL,70.2,*e,2hcp,Lancaster Park,Mar 19
