rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Tatyana Chernova,RUS,6880,,1,Daegu,Aug 30
2,Jessica Ennis,GBR,6790,,1,Götzis,May 29
3,Jennifer Oeser,GER,6663,,1,Ratingen,Jul 17
4,Karolina Tyminska,POL,6544,,4,Daegu,Aug 30
5,Natallia Dobrynska,UKR,6539,,5,Daegu,Aug 30
6,Aiga Grabuste,LAT,6507,,2,Ratingen,Jul 17
7,Ida Antoinette Nana Djimou,FRA,6409,,3,Götzis,May 29
8,Lilli Schwarzkopf,GER,6370,,3,Ratingen,Jul 17
9,Jessica Zelinka,CAN,6353,,5,Götzis,May 29
10,Austra Skujyte,LTU,6338,,1,Ribeira Brava,Jul 03
11,Lyudmyla Yosypenko,UKR,6318,,1,Donetsk,Aug 03
12,Margaret Simpson,GHA,6270,,1,Desenzano del Garda,May 08
13,Anna Bogdanova,RUS,6242,,11,Daegu,Aug 30
14,Ruky Abdulai,CAN,6212,,13,Daegu,Aug 30
15,Remona Fransen,NED,6198,,4,Ratingen,Jul 17
16,Julia Mächtig,GER,6194,,5,Ratingen,Jul 17
17,Jessica Samuelsson,SWE,6182,,7,Talence,Sep 18
18,Dafne Schippers,NED,6172,,8,Götzis,May 29
19,Louise Hazel,GBR,6166,,7,Ratingen,Jul 17
20,Olga Kurban,RUS,6151,,1,Shenzhen,Aug 20
21,Grit adeiko,EST,6134,,1,Ostrava,Jul 17
22,Lucimara da Silva,BRA,6133,A,1,"Guadalajara, MEX",Oct 26
23,Katerina Cachová,CZE,6123,,2,Ostrava,Jul 17
24,Sara Gambetta,GER,6108,,2,Tallinn,Jul 22
25,Claudia Rath,GER,6098,,8,Ratingen,Jul 17
