rank,name,nat,perf_0,perf_1,perf_2,city,date
1,Nafissatou Thiam,BEL,6810,,1,Rio de Janeiro,Aug 13
2,Jessica Ennis-Hill,GBR,6775,,2,Rio de Janeiro,Aug 13
3,Brianne Theisen-Eaton,CAN,6765,,1,Götzis,May 29
4,Anouk Vetter,NED,6626,,1,Amsterdam,Jul 09
5,Laura Ikauniece-Admidina,LAT,6622,,2,Götzis,May 29
6,Carolin Schäfer,GER,6557,,3,Götzis,May 29
7,Katarina Johnson-Thompson,GBR,6523,,6,Rio de Janeiro,Aug 13
8,Barbara Nwaba,USA,6494,,1,"Eugene, OR",Jul 10
9,Yorgelis Rodríguez,CUB,6481,,7,Rio de Janeiro,Aug 13
10,Ida Antoinette Nana Djimou,FRA,6458,,2,Amsterdam,Jul 09
11,Györgyi Zsivoczky-Farkas,HUN,6442,,8,Rio de Janeiro,Aug 13
12,Heather Miller-Koch,USA,6423,,2,"Eugene, OR",Jul 10
13,Ivona Dadic,AUT,6408,,3,Amsterdam,Jul 09
14,Kendell Williams,USA,6402,,3,"Eugene, OR",Jul 10
15,Jennifer Oeser,GER,6401,,9,Rio de Janeiro,Aug 13
16,Sharon Day-Monroe,USA,6385,,4,"Eugene, OR",Jul 10
17,Nadine Broersen,NED,6377,,1,Talence,Sep 18
18,Katerina Cachová,CZE,6328,,1,Kladno,Jun 11
19,Chantae McMillan,USA,6326,,5,"Eugene, OR",Jul 10
20,Claudia Rath,GER,6310,,3,Talence,Sep 18
21,Akela Jones,BAR,6307,,1,"Azusa, CA",Apr 14
22,Evelis Aguilar,COL,6270,,1,Cali,Jun 26
23,Xénia Krizsán,HUN,6266,,4,Amsterdam,Jul 09
24,Nadine Visser,NED,6190,,19,Rio de Janeiro,Aug 13
25,Vanessa Chefer,BRA,6188,,1,São Bernardo do Campo,Jul 01
